d,a_omega,a_v,a_p,a_l,a_t,a_acc,b_omega,b_v,b_p,b_l,b_t,b_acc
0.561992355340521,10.319998492593761,[-0.25188138 -0.34639273],[-0.00709933 -0.00976315],9.089725672295429e-05,0.0030560904235590646,[-0.00042818  0.00084104],10.555942885710904,[ 0.31843054 -0.62480002],[ 0.0091473  -0.01794813],9.476003953859644e-05,0.007587325879061658,[-0.00055071  0.00038418]
0.743709450523972,12.1188350421666,[-0.22603038 -0.36983841],[-0.00637071 -0.01042397],0.00010674118419702317,0.0032964963745188386,[-0.00054494  0.00086082],9.135288885909798,[ 0.26020028 -0.38355326],[ 0.00747457 -0.01101803],8.200691737325691e-05,0.003496819806605026,[-0.0006266  0.0001557]
0.9207142446899054,12.200857027889798,[-0.02966341 -0.37555862],[-0.00083607 -0.01058519],0.00010746362359452489,0.0026598193902944408,[-0.00060099  0.00027608],6.7514754094253995,[ 0.1614272  -0.11399054],[ 0.00463719 -0.00327452],6.060757278319874e-05,0.0007735550320879681,[ 0.00011335 -0.00017791]
0.9620254569469003,5.224785386616717,[ 0.28658489 -0.17503197],[ 0.00823249 -0.005028  ],4.6902571866571607e-05,0.0017706538455953152,[-0.00165567  0.0002564 ],11.156635691155403,[0.20916951 0.07762142],[0.00589548 0.00218778],9.826625258823544e-05,0.0012545538682965248,[2.96623996e-04 7.95893447e-05]
0.3975270248450239,0.2914512715246917,[ 0.03059246 -0.08605525],[ 0.00087881 -0.00247204],2.6163398487726876e-06,0.00017413544639990954,[-0.00132961  0.00181166],0.30338607057118666,[ 0.15176113 -0.545305  ],[ 0.00427742 -0.01536953],2.6721865863321913e-06,0.0045225939689952565,[ 1.45634262e-05 -1.27793448e-03]
0.7473159087463467,9.411931674969798,[-0.04758977 -0.30498544],[-0.00134133 -0.00859608],8.28991177016746e-05,0.0017359431748595116,[-0.00101659  0.00082226],8.431742940888562,[ 0.31755208 -0.20949356],[ 0.00912206 -0.00601795],7.569122939642283e-05,0.0024007165168739167,[ 0.00068916 -0.00061455]
0.4219156703521424,-0.6033109605772732,[0.09884303 0.0053808 ],[0.00283938 0.00015457],-5.4158847861671465e-06,0.00014980688935250513,[-0.00110156  0.00076776],-7.49033994707912,[ 0.27274058 -0.27515134],[ 0.00768725 -0.0077552 ],-6.597397796137952e-05,0.002369445774580844,[ 0.00047001 -0.00012867]
0.20400365926091032,4.229408550766338,[-0.03252662 -0.13989239],[-0.00091677 -0.0039429 ],3.725210183908107e-05,0.0003736021630863011,[-0.00058955  0.00075425],0.28795360762820715,[ 0.29510668 -0.35734606],[ 0.00847729 -0.01026519],2.5849415385779388e-06,0.0031484709200209726,[-0.00067194  0.00089759]
0.5738185502523502,10.169823038323157,[-0.25458381 -0.24049639],[-0.0071755  -0.00677844],8.95745300936706e-05,0.0021859587859186518,[-0.00022524  0.00073637],4.881705748359572,[ 0.16489316 -0.47403228],[ 0.00473675 -0.01361715],4.382276739641462e-05,0.003783484139956559,[-0.00064095  0.00090924]
0.6557267106004797,5.753565606407902,[-0.14666351 -0.1200197 ],[-0.00413374 -0.00338278],5.067668666554002e-05,0.0006567826330201292,[5.94213827e-05 5.28225912e-04],5.200628929971741,[ 0.07509477 -0.2361805 ],[ 0.00215719 -0.00678457],4.6685720865048214e-05,0.0010090910813795571,[1.41670042e-05 1.20654699e-04]
0.2766164923264925,6.718112180665783,[-0.07940658 -0.21834801],[-0.00223809 -0.00615418],5.917229232328164e-05,0.0009617136774450359,[-0.00058068  0.00091182],-0.9194454176464644,[ 0.33135401 -0.43485463],[ 0.00951854 -0.01249172],-8.253804048873708e-06,0.0043999735399449305,[-0.00093061  0.00128635]
0.8192760536361154,10.546143500368082,[-0.07494544 -0.32828534],[-0.0021529  -0.00943039],9.467207106883553e-05,0.0021319780091501503,[-0.0004324   0.00047167],5.289875641437348,[ 0.20773755 -0.14833629],[ 0.00585512 -0.00418089],4.6592563415325005e-05,0.0010550247676232366,[-5.96237200e-04  3.61933522e-05]
0.7117394863129409,7.0676405053282325,[-0.14933867 -0.21619954],[-0.00420914 -0.00609363],6.225089411586791e-05,0.0011953232048821595,[-0.00035732  0.00107889],7.019867004494622,[ 0.17907913 -0.28382929],[ 0.00514426 -0.00815334],6.301690735766045e-05,0.0018422393415601255,[ 0.00021453 -0.00035817]
0.47117296267329506,5.43532695396682,[-0.08876954 -0.17326916],[-0.00255001 -0.00497736],4.879259035782551e-05,0.0006808352946282387,[-0.00062112  0.00102486],5.710714693146464,[ 0.25235246 -0.37129179],[ 0.0071126  -0.01046493],5.029926117789743e-05,0.0029918126120205796,[ 0.00014691 -0.00075267]
0.5813460922184498,7.698425380731641,[-0.11285818 -0.33392806],[-0.00318093 -0.00941183],6.780676845031172e-05,0.0020146611788755438,[-0.00094062  0.00107627],7.81953783791298,[ 0.31864836 -0.3699367 ],[ 0.00915356 -0.01062688],7.019550244982997e-05,0.0037638679712120923,[-0.00103084  0.00023748]
0.7337909288720335,8.51503607773732,[-0.19606502 -0.18558085],[-0.0056322  -0.00533103],7.643894668009308e-05,0.0013786700257623974,[-0.00016618  0.00097997],5.9053106019732065,[ 0.11996709 -0.28844416],[ 0.0033813  -0.00812986],5.201323761835478e-05,0.0015351013356961303,[-2.18325384e-04  4.33898641e-06]
0.7079462510692123,11.363779463538496,[-0.17130286 -0.31094598],[-0.00492088 -0.0089323 ],0.0001020119380079686,0.0023936170428439972,[-0.00116238  0.00166168],4.414571078643637,[ 0.20305297 -0.25799506],[ 0.00572309 -0.00727164],3.888299023930833e-05,0.0016633444501376225,[-0.00019336 -0.00044395]
0.4053105396564048,5.261801197328258,[-0.04981394 -0.20118421],[-0.00143097 -0.00577926],4.723486048584094e-05,0.0007459647478603482,[-0.00093635  0.00115306],4.854361701704921,[ 0.3949202 -0.3646777],[ 0.0111309  -0.01027851],4.2756611073404255e-05,0.004188587183467373,[ 0.00026692 -0.00026925]
0.8238464914606486,8.93330138696342,[-0.08656009 -0.33654771],[-0.00248654 -0.00966774],8.019368821943397e-05,0.0020953021622220768,[-0.00071091  0.00060893],8.38027440766964,[ 0.23518716 -0.20476726],[ 0.0066288  -0.00577141],7.381240944845324e-05,0.0016820935966901122,[ 0.00035411 -0.00053435]
0.2167367272536988,3.5643943603502524,[-0.02724687 -0.18010043],[-0.00076796 -0.00507617],3.1394739976669984e-05,0.0005256690413286392,[-0.0007393   0.00114982],2.2440201544831826,[ 0.38342332 -0.51840338],[ 0.01101429 -0.01489176],2.014442867553588e-05,0.006000855548447031,[ 0.00048055 -0.00073908]
