d,a_omega,a_v,a_p,a_l,a_t,a_acc,b_omega,b_v,b_p,b_l,b_t,b_acc
0.561992355340521,-0.482628346932904,[ 0.04805336 -0.59180395],[ 0.00135439 -0.01668011],-4.250930151241653e-06,0.006178074813670573,[ 0.0002915  -0.00864827],0.0005223582924394828,[-2.02583114e-05 -9.83962243e-05],[-5.81944306e-07 -2.82654962e-06],4.689177743835958e-09,1.1108465896935714e-07,[ 0.00050034 -0.00084866]
0.743709450523972,0.46467189741666687,[ 0.05968031 -0.62956633],[ 0.0016821  -0.01774445],4.092771988458827e-06,0.006335261333654383,[ 0.00010484 -0.00664836],0.00017679174580852543,[ 0.00011072 -0.00025439],[ 3.18054525e-06 -7.30771696e-06],1.587048452639013e-09,1.253412800924228e-07,[ 0.0003593  -0.00040286]
0.9207142446899054,4.031579306439748,[ 0.15890576 -0.51222609],[ 0.00447879 -0.01443719],3.5509646583708004e-05,0.004127719764502066,[-1.49425164e-05  1.17226635e-04],-0.00064770775465407,[1.72084963e-05 7.18810723e-06],[4.94334706e-07 2.06487006e-07],-5.814432031794901e-09,1.1189925382988357e-07,[ 4.59309607e-05 -1.63040322e-05]
0.9620254569469003,-5.258209325371033,[ 0.63828971 -0.1408642 ],[ 0.01833564 -0.00404649],-4.720261647577295e-05,0.006287883871783944,[-0.00142902  0.00035034],-0.002990282346540221,[1.10979928e-06 2.61875596e-04],[3.12799147e-08 7.38101605e-06],-2.6338033123032943e-08,1.2024132014233438e-07,[8.07531949e-05 2.28899627e-05]
0.3975270248450239,1.0251801541065608,[ 0.2256076  -0.66055771],[ 0.00648085 -0.01897531],9.202978169654966e-06,0.007356424899247605,[ 0.00260407 -0.00640933],-0.00022439240285416503,[-3.6743054e-07  1.9401605e-05],[-1.03561033e-08  5.46838116e-07],-1.9764202352891422e-09,9.91015396465913e-08,[-2.74417426e-06  1.43724051e-05]
0.7473159087463467,0.09806421586590748,[ 0.28698855 -0.53917424],[ 0.00808883 -0.01519673],8.637373553199298e-07,0.005258498040619641,[-2.24107290e-04  2.49696406e-05],-0.0002609907931562362,[ 1.72384707e-05 -2.58940060e-05],[ 4.95195756e-07 -7.43836396e-07],-2.3428980382389575e-09,1.141755163909073e-07,[ 6.64230038e-05 -9.42618695e-05]
0.4219156703521424,10.330678026780733,[ 0.51433376 -0.33188473],[ 0.01477485 -0.00953379],9.2737850979034e-05,0.00589787707012058,[-0.00124049  0.00029698],-0.00073140203252276,[-3.89969689e-05  6.83361589e-06],[-1.09913737e-06  1.92606830e-07],-6.442097677206408e-09,1.2458528713543385e-07,[ 1.04649355e-04 -9.92998965e-05]
0.20400365926091032,2.2071924901231825,[ 0.33297207 -0.57598523],[ 0.00938488 -0.01623426],1.9440675553943732e-05,0.006261005559868301,[-0.0004408   0.00053532],-6.116003457214767e-05,[ 3.33444147e-05 -1.27943830e-05],[ 9.57858327e-07 -3.67534004e-07],-5.490298078520054e-10,8.317974979425893e-08,[ 0.00031691 -0.00038612]
0.5738185502523502,3.9254919952234593,[-0.06383061 -0.77058842],[-0.00179908 -0.02171919],3.457524280742884e-05,0.008495835936302742,[-4.69640845e-04  4.81615578e-05],0.0021084463260351576,[-6.07654591e-05 -2.85320312e-05],[-1.74556073e-06 -8.19616836e-07],1.8927390890922227e-08,1.1199646423333213e-07,[ 0.00028895 -0.00063568]
0.6557267106004797,1.8826335353883576,[-0.06990575 -0.44076042],[-0.00197031 -0.01242292],1.6582000850508735e-05,0.0028511430554390964,[3.57006349e-05 1.75728091e-03],-0.000681409159772973,[-7.90363435e-06  3.94863644e-05],[-2.27041381e-07  1.13429320e-06],-6.116967439209499e-09,1.195923949270093e-07,[ 9.18834611e-05 -3.21437464e-04]
0.2766164923264925,4.0960124709861105,[ 0.35227733 -0.7990441 ],[ 0.00992901 -0.02252122],3.60771658428868e-05,0.010825620815707922,[-0.00057133  0.00068151],0.0010909802055305473,[4.34799477e-07 8.28032160e-05],[1.24901367e-08 2.37862174e-06],9.79366111878491e-09,8.418542676665298e-08,[ 0.0004007  -0.00053091]
0.8192760536361154,2.429650570441616,[ 0.21667109 -0.59664425],[ 0.00622414 -0.01713932],2.1810821317693736e-05,0.005881273822900726,[-0.00117728  0.00177603],0.0004547115698988637,[ 7.54496339e-06 -8.83832654e-06],[ 2.12656302e-07 -2.49110001e-07],4.0050426687229375e-09,1.2171988302644025e-07,[ 0.00030326 -0.00023046]
0.7117394863129409,0.5644403860629038,[ 0.03348839 -0.56838204],[ 0.00094388 -0.01601996],4.971520365393801e-06,0.0045982669994630914,[-0.00029058  0.00156496],0.0025428307516912226,[-9.21402823e-06  1.08489443e-04],[-2.64684018e-07  3.11648943e-06],2.282683273101013e-08,8.292837259654856e-08,[ 0.0001467  -0.00019322]
0.47117296267329506,-0.9998896835384089,[ 0.17955635 -0.6007666 ],[ 0.00515797 -0.01725774],-8.975947196019077e-06,0.005664782926147968,[-0.00018155  0.00091562],-0.0018753066610351775,[-1.39905939e-05 -4.66009695e-05],[-3.94327688e-07 -1.31345764e-06],-1.651746665706522e-08,9.190086780615329e-08,[ 8.53388737e-05 -1.07559527e-04]
0.5813460922184498,-1.1112538377685095,[ 0.29612479 -0.77057145],[ 0.00834634 -0.02171871],-9.787784896335314e-06,0.009610486568174361,[-0.00021844  0.00022738],0.003992353025909653,[ 5.1015588e-05 -7.9542932e-05],[ 1.46548398e-06 -2.28496617e-06],3.583910359152684e-08,1.328751703474189e-07,[ 0.00018131 -0.00019938]
0.7337909288720335,1.0791431209232336,[-0.06956767 -0.56433893],[-0.00199841 -0.01621131],9.68740035008281e-06,0.004657300930290951,[-0.00036785  0.00098535],-0.00173012610467161,[2.29660496e-05 7.17884472e-06],[6.47302702e-07 2.02337174e-07],-1.5238734464184454e-08,7.870402008634506e-08,[ 0.00011894 -0.00029908]
