NO_OF_FRAMES	1727
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:52:38.979	120240.36605500
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Mixed	Measured
b X	b Y	b Z	a X	a Y	a Z	
517.227	78.872	400.586	-481.075	49.699	397.632
517.226	78.879	400.585	-481.089	49.697	397.644
517.217	78.878	400.595	-481.096	49.700	397.619
517.220	78.888	400.569	-481.098	49.697	397.636
517.218	78.871	400.596	-481.099	49.690	397.637
517.212	78.879	400.579	-481.098	49.697	397.636
517.212	78.886	400.580	-481.088	49.683	397.645
517.219	78.877	400.596	-481.097	49.691	397.635
517.213	78.879	400.581	-481.097	49.691	397.635
517.213	78.879	400.581	-481.097	49.691	397.635
517.213	78.879	400.581	-481.101	49.681	397.655
517.214	78.879	400.583	-481.097	49.691	397.635
517.213	78.879	400.581	-481.096	49.691	397.634
517.214	78.879	400.583	-481.096	49.691	397.634
517.214	78.892	400.583	-481.096	49.691	397.634
517.215	78.885	400.584	-481.087	49.677	397.644
517.222	78.887	400.572	-481.096	49.691	397.634
517.204	78.884	400.591	-481.087	49.697	397.641
517.213	78.886	400.582	-481.096	49.691	397.634
517.214	78.872	400.582	-481.098	49.684	397.636
517.204	78.884	400.591	-481.096	49.691	397.634
517.219	78.877	400.596	-481.097	49.684	397.635
517.214	78.892	400.583	-481.097	49.691	397.635
517.219	78.877	400.596	-481.098	49.711	397.634
517.213	78.879	400.581	-481.097	49.697	397.634
517.213	78.886	400.582	-481.098	49.704	397.635
517.212	78.886	400.580	-481.099	49.711	397.635
517.204	78.878	400.591	-481.098	49.704	397.635
517.204	78.884	400.591	-481.098	49.704	397.635
517.207	78.881	400.566	-481.095	49.700	397.617
517.205	78.878	400.592	-481.098	49.704	397.635
517.206	78.857	400.592	-481.085	49.706	397.624
517.206	78.864	400.593	-481.107	49.705	397.626
517.205	78.864	400.591	-481.099	49.711	397.635
517.206	78.857	400.592	-481.099	49.711	397.635
517.206	78.857	400.592	-481.107	49.705	397.626
517.214	78.866	400.582	-481.098	49.704	397.635
517.204	78.858	400.590	-481.098	49.697	397.636
517.205	78.864	400.591	-481.093	49.707	397.662
517.205	78.851	400.591	-481.099	49.711	397.635
517.205	78.851	400.591	-481.099	49.724	397.635
517.204	78.858	400.590	-481.102	49.715	397.653
517.204	78.858	400.590	-481.109	49.732	397.625
517.204	78.858	400.590	-481.099	49.731	397.633
517.206	78.857	400.592	-481.099	49.724	397.635
517.204	78.858	400.590	-481.098	49.724	397.633
517.205	78.864	400.591	-481.098	49.724	397.633
517.204	78.858	400.590	-481.095	49.727	397.614
517.206	78.857	400.592	-481.098	49.704	397.635
517.206	78.857	400.592	-481.089	49.724	397.641
517.205	78.851	400.591	-481.088	49.717	397.641
517.205	78.851	400.591	-481.088	49.710	397.642
517.199	78.846	400.575	-481.089	49.724	397.641
517.199	78.846	400.575	-481.099	49.718	397.634
517.199	78.853	400.576	-481.097	49.718	397.633
517.200	78.839	400.576	-481.085	49.713	397.623
517.199	78.846	400.575	-481.098	49.711	397.634
517.191	78.831	400.585	-481.097	49.697	397.634
517.205	78.831	400.591	-481.108	49.725	397.625
517.200	78.839	400.576	-481.098	49.711	397.634
517.199	78.846	400.575	-481.098	49.704	397.635
517.193	78.848	400.560	-481.098	49.704	397.635
517.191	78.838	400.586	-481.098	49.704	397.635
517.200	78.833	400.576	-481.097	49.697	397.634
517.185	78.833	400.570	-481.107	49.711	397.625
517.191	78.831	400.585	-481.107	49.705	397.626
517.184	78.840	400.569	-481.111	49.695	397.646
517.191	78.838	400.586	-481.110	49.695	397.645
517.190	78.838	400.584	-481.096	49.691	397.634
517.184	78.840	400.569	-481.097	49.697	397.634
517.190	78.845	400.585	-481.097	49.697	397.634
517.190	78.851	400.586	-481.101	49.688	397.654
517.181	78.843	400.594	-481.106	49.705	397.625
517.181	78.850	400.595	-481.111	49.695	397.646
517.190	78.851	400.586	-481.097	49.691	397.635
517.189	78.858	400.584	-481.097	49.697	397.634
517.190	78.851	400.586	-481.096	49.698	397.633
517.182	78.856	400.596	-481.097	49.697	397.634
517.181	78.850	400.595	-481.097	49.691	397.635
517.191	78.858	400.586	-481.097	49.691	397.635
517.182	78.856	400.596	-481.087	49.697	397.641
517.191	78.858	400.586	-481.088	49.697	397.642
517.182	78.856	400.596	-481.087	49.697	397.641
517.181	78.863	400.595	-481.097	49.691	397.635
