NO_OF_FRAMES	2126
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:11:39.923	117781.31538340
DATA_INCLUDED	3D
MARKER_NAMES	a	b
TRAJECTORY_TYPES	Measured	Measured
a X	a Y	a Z	b X	b Y	b Z	
-509.600	49.084	397.836	592.644	80.441	401.245
-509.621	49.105	397.820	592.648	80.446	401.259
-509.632	49.119	397.813	592.643	80.448	401.243
-509.632	49.112	397.814	592.642	80.455	401.242
-509.632	49.105	397.815	592.651	80.463	401.234
-509.632	49.112	397.814	592.650	80.470	401.233
-509.632	49.112	397.814	592.641	80.468	401.242
-509.623	49.112	397.822	592.648	80.460	401.259
-509.623	49.118	397.823	592.642	80.475	401.242
-509.630	49.121	397.796	592.651	80.463	401.234
-509.633	49.112	397.816	592.652	80.469	401.235
-509.633	49.119	397.815	592.642	80.462	401.243
-509.622	49.119	397.821	592.647	80.473	401.258
-509.630	49.121	397.796	592.643	80.468	401.244
-509.623	49.112	397.822	592.642	80.462	401.243
-509.635	49.116	397.832	592.643	80.455	401.244
-509.622	49.119	397.821	592.642	80.462	401.243
-509.633	49.119	397.815	592.648	80.460	401.259
-509.633	49.126	397.813	592.643	80.468	401.244
-509.626	49.129	397.839	592.652	80.469	401.235
-509.633	49.126	397.813	592.642	80.462	401.243
-509.623	49.139	397.819	592.643	80.461	401.245
-509.622	49.119	397.821	592.648	80.446	401.259
-509.616	49.136	397.846	592.648	80.453	401.260
-509.625	49.116	397.840	592.657	80.454	401.251
-509.612	49.111	397.829	592.648	80.446	401.259
-509.614	49.131	397.828	592.647	80.453	401.258
-509.623	49.139	397.819	592.648	80.446	401.259
-509.613	49.111	397.830	592.652	80.451	401.274
-509.612	49.111	397.829	592.648	80.446	401.259
-509.612	49.111	397.829	592.653	80.438	401.274
-509.612	49.118	397.828	592.648	80.440	401.258
-509.620	49.114	397.803	592.653	80.438	401.274
-509.621	49.112	397.821	592.649	80.433	401.260
-509.622	49.105	397.822	592.649	80.433	401.260
-509.623	49.112	397.822	592.649	80.433	401.260
-509.622	49.105	397.822	592.642	80.435	401.242
-509.621	49.112	397.821	592.658	80.434	401.251
-509.613	49.098	397.831	592.658	80.428	401.250
-509.622	49.105	397.822	592.658	80.434	401.251
-509.631	49.106	397.814	592.654	80.429	401.236
-509.623	49.105	397.823	592.649	80.426	401.259
-509.618	49.094	397.803	592.648	80.440	401.258
-509.622	49.105	397.822	592.653	80.436	401.235
-509.631	49.099	397.815	592.644	80.435	401.244
-509.628	49.115	397.793	592.648	80.446	401.259
-509.628	49.115	397.793	592.644	80.435	401.244
-509.632	49.119	397.813	592.647	80.447	401.257
-509.631	49.106	397.814	592.643	80.442	401.242
-509.623	49.105	397.823	592.648	80.440	401.258
-509.632	49.098	397.816	592.652	80.443	401.234
-509.631	49.112	397.812	592.642	80.455	401.242
-509.629	49.108	397.796	592.648	80.446	401.259
-509.632	49.119	397.813	592.643	80.442	401.242
-509.622	49.098	397.823	592.648	80.446	401.259
-509.632	49.112	397.814	592.643	80.442	401.242
-509.623	49.112	397.822	592.651	80.456	401.233
-509.632	49.119	397.813	592.648	80.446	401.259
-509.623	49.112	397.822	592.651	80.456	401.233
-509.622	49.098	397.823	592.655	80.461	401.248
-509.631	49.112	397.812	592.643	80.442	401.242
-509.619	49.115	397.802	592.648	80.446	401.259
-509.631	49.112	397.812	592.649	80.433	401.260
-509.621	49.098	397.821	592.648	80.446	401.259
-509.631	49.092	397.814	592.648	80.446	401.259
-509.619	49.108	397.803	592.649	80.433	401.260
-509.612	49.098	397.829	592.649	80.439	401.260
-509.609	49.101	397.810	592.649	80.433	401.260
-509.621	49.098	397.821	592.654	80.437	401.276
-509.612	49.105	397.830	592.648	80.440	401.258
-509.611	49.091	397.829	592.649	80.433	401.260
-509.619	49.108	397.803	592.649	80.439	401.260
-509.608	49.108	397.809	592.648	80.446	401.259
-509.621	49.112	397.821	592.648	80.446	401.259
-509.622	49.105	397.822	592.648	80.446	401.259
-509.622	49.119	397.821	592.643	80.442	401.242
-509.623	49.118	397.823	592.652	80.458	401.273
-509.633	49.119	397.815	592.647	80.453	401.258
-509.630	49.121	397.796	592.647	80.453	401.258
-509.630	49.128	397.794	592.648	80.460	401.259
-509.633	49.132	397.814	592.642	80.449	401.241
-509.630	49.128	397.794	592.643	80.448	401.243
-509.632	49.132	397.812	592.649	80.439	401.260
-509.632	49.132	397.812	592.649	80.446	401.261
-509.633	49.139	397.813	592.657	80.448	401.250
-509.629	49.129	397.793	592.643	80.448	401.243
-509.635	49.130	397.831	592.644	80.448	401.245
-509.632	49.119	397.813	592.649	80.439	401.260
-509.633	49.126	397.813	592.643	80.448	401.243
-509.623	49.132	397.820	592.644	80.441	401.245
-509.630	49.128	397.794	592.648	80.453	401.260
-509.623	49.132	397.820	592.657	80.448	401.250
-509.630	49.135	397.795	592.643	80.448	401.243
-509.633	49.126	397.813	592.649	80.439	401.260
-509.630	49.128	397.794	592.657	80.448	401.250
-509.626	49.122	397.840	592.647	80.453	401.258
-509.624	49.139	397.821	592.642	80.449	401.241
-509.620	49.128	397.803	592.647	80.447	401.257
-509.623	49.118	397.823	592.656	80.448	401.248
-509.621	49.114	397.805	592.642	80.442	401.240
-509.630	49.108	397.798	592.647	80.447	401.257
-509.630	49.121	397.796	592.652	80.458	401.273
-509.636	49.109	397.835	592.648	80.433	401.258
-509.633	49.119	397.815	592.641	80.449	401.239
-509.632	49.098	397.816	592.647	80.447	401.257
-509.629	49.108	397.796	592.647	80.447	401.257
-509.616	49.110	397.784	592.647	80.440	401.256
-509.641	49.120	397.805	592.643	80.448	401.243
-509.631	49.099	397.815	592.643	80.448	401.243
-509.631	49.085	397.815	592.644	80.441	401.245
-509.640	49.113	397.804	592.645	80.434	401.246
-509.630	49.086	397.814	592.644	80.448	401.245
-509.628	49.095	397.795	592.645	80.441	401.247
-509.630	49.099	397.813	592.648	80.453	401.260
-509.630	49.106	397.812	592.649	80.446	401.261
-509.631	49.092	397.814	592.644	80.441	401.245
-509.631	49.099	397.815	592.645	80.434	401.246
-509.629	49.092	397.813	592.648	80.446	401.259
-509.631	49.092	397.814	592.648	80.446	401.259
-509.631	49.106	397.814	592.643	80.455	401.244
-509.630	49.099	397.813	592.657	80.454	401.251
-509.628	49.101	397.796	592.644	80.441	401.245
-509.628	49.115	397.793	592.647	80.453	401.258
-509.632	49.092	397.816	592.662	80.446	401.266
-509.622	49.105	397.822	592.648	80.460	401.259
-509.621	49.105	397.820	592.647	80.453	401.258
-509.631	49.106	397.814	592.648	80.460	401.259
-509.630	49.099	397.813	592.648	80.446	401.259
-509.621	49.098	397.821	592.648	80.460	401.259
-509.618	49.122	397.800	592.657	80.454	401.251
-509.628	49.108	397.795	592.656	80.454	401.249
-509.622	49.098	397.823	592.647	80.453	401.258
-509.622	49.105	397.822	592.649	80.439	401.260
-509.632	49.105	397.815	592.648	80.453	401.260
-509.632	49.098	397.816	592.644	80.435	401.244
-509.632	49.105	397.815	592.647	80.453	401.258
-509.642	49.126	397.805	592.642	80.449	401.241
-509.643	49.119	397.808	592.643	80.428	401.243
-509.639	49.122	397.787	592.642	80.442	401.240
-509.642	49.126	397.805	592.643	80.442	401.242
-509.643	49.126	397.807	592.643	80.448	401.243
-509.646	49.123	397.826	592.644	80.441	401.245
-509.652	49.126	397.799	592.643	80.448	401.243
-509.643	49.133	397.806	592.642	80.455	401.242
-509.646	49.130	397.825	592.642	80.449	401.241
-509.640	49.122	397.789	592.647	80.453	401.258
-509.644	49.132	397.807	592.642	80.455	401.242
-509.644	49.139	397.806	592.648	80.446	401.259
-509.643	49.126	397.807	592.642	80.462	401.243
-509.643	49.133	397.806	592.642	80.462	401.243
-509.643	49.133	397.806	592.643	80.448	401.243
-509.643	49.133	397.806	592.642	80.462	401.243
-509.642	49.133	397.804	592.647	80.467	401.258
-509.643	49.133	397.806	592.642	80.455	401.242
-509.633	49.126	397.813	592.647	80.453	401.258
-509.640	49.135	397.787	592.648	80.446	401.259
-509.629	49.122	397.794	592.648	80.446	401.259
-509.633	49.126	397.813	592.647	80.447	401.257
-509.641	49.126	397.804	592.648	80.453	401.260
-509.631	49.126	397.812	592.648	80.446	401.259
-509.635	49.116	397.832	592.648	80.446	401.259
-509.633	49.126	397.813	592.648	80.446	401.259
-509.635	49.109	397.833	592.648	80.446	401.259
-509.632	49.112	397.814	592.648	80.446	401.259
-509.632	49.119	397.813	592.648	80.440	401.258
-509.622	49.119	397.821	592.649	80.439	401.260
-509.633	49.119	397.815	592.648	80.446	401.259
-509.632	49.119	397.813	592.643	80.448	401.243
-509.633	49.119	397.815	592.644	80.441	401.245
-509.632	49.119	397.813	592.648	80.460	401.259
-509.633	49.126	397.813	592.648	80.446	401.259
-509.633	49.132	397.814	592.648	80.453	401.260
-509.642	49.126	397.805	592.643	80.455	401.244
-509.633	49.132	397.814	592.648	80.453	401.260
-509.633	49.132	397.814	592.644	80.448	401.245
-509.643	49.140	397.805	592.643	80.461	401.245
-509.640	49.142	397.786	592.648	80.453	401.260
-509.646	49.150	397.823	592.648	80.453	401.260
-509.642	49.119	397.806	592.642	80.462	401.243
-509.640	49.149	397.786	592.643	80.455	401.244
-509.640	49.135	397.787	592.643	80.455	401.244
-509.643	49.126	397.807	592.642	80.455	401.242
-509.655	49.137	397.816	592.644	80.441	401.245
-509.652	49.133	397.798	592.643	80.448	401.243
-509.642	49.126	397.805	592.643	80.442	401.242
-509.632	49.119	397.813	592.643	80.442	401.242
-509.629	49.115	397.795	592.649	80.426	401.259
-509.633	49.096	397.832	592.643	80.428	401.243
-509.642	49.106	397.807	592.649	80.426	401.259
-509.631	49.099	397.815	592.645	80.428	401.245
-509.632	49.092	397.816	592.642	80.429	401.241
-509.638	49.102	397.788	592.643	80.428	401.243
-509.628	49.095	397.795	592.643	80.422	401.242
-509.638	49.088	397.790	592.643	80.422	401.242
-509.632	49.092	397.816	592.648	80.420	401.258
-509.638	49.088	397.790	592.643	80.415	401.241
-509.631	49.078	397.816	592.639	80.412	401.266
-509.640	49.079	397.808	592.643	80.415	401.241
-509.641	49.072	397.810	592.643	80.415	401.241
-509.644	49.069	397.828	592.645	80.408	401.245
-509.640	49.086	397.807	592.634	80.414	401.250
-509.640	49.065	397.809	592.639	80.412	401.266
-509.641	49.043	397.828	592.634	80.414	401.250
-509.641	49.056	397.826	592.629	80.409	401.236
-509.651	49.057	397.819	592.644	80.415	401.243
-509.648	49.073	397.798	592.644	80.415	401.243
-509.641	49.056	397.826	592.634	80.420	401.251
-509.635	49.082	397.786	592.641	80.405	401.269
-509.638	49.079	397.805	592.645	80.428	401.245
-509.640	49.050	397.825	592.635	80.414	401.252
-509.637	49.073	397.805	592.634	80.427	401.252
-509.639	49.073	397.806	592.640	80.432	401.269
-509.637	49.073	397.805	592.634	80.427	401.252
-509.636	49.075	397.787	592.635	80.414	401.252
-509.638	49.079	397.805	592.640	80.418	401.269
-509.637	49.080	397.804	592.639	80.425	401.268
-509.652	49.070	397.819	592.634	80.427	401.252
-509.641	49.063	397.825	592.633	80.434	401.251
