NO_OF_FRAMES	2258
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:43:27.440	119688.82878000
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
551.731	79.807	400.873	-462.722	50.247	397.589
551.745	79.807	400.879	-462.745	50.258	397.590
551.740	79.809	400.863	-462.728	50.243	397.564
551.755	79.808	400.870	-462.745	50.258	397.590
551.755	79.808	400.870	-462.731	50.254	397.580
551.764	79.809	400.860	-462.735	50.251	397.598
551.765	79.809	400.862	-462.745	50.265	397.589
551.764	79.809	400.860	-462.743	50.266	397.588
551.778	79.815	400.867	-462.742	50.254	397.573
551.778	79.809	400.867	-462.742	50.268	397.572
551.778	79.809	400.867	-462.745	50.258	397.590
551.793	79.808	400.873	-462.732	50.261	397.580
551.793	79.808	400.873	-462.733	50.281	397.580
551.786	79.817	400.856	-462.742	50.268	397.572
551.794	79.825	400.846	-462.735	50.280	397.582
551.809	79.831	400.853	-462.741	50.277	397.556
551.800	79.830	400.862	-462.744	50.274	397.574
551.808	79.838	400.852	-462.745	50.288	397.574
551.808	79.838	400.852	-462.744	50.288	397.572
551.823	79.844	400.859	-462.744	50.281	397.573
551.817	79.840	400.843	-462.752	50.297	397.547
551.823	79.844	400.859	-462.735	50.274	397.583
551.832	79.846	400.850	-462.736	50.287	397.582
551.832	79.846	400.850	-462.732	50.283	397.565
551.832	79.852	400.850	-462.744	50.297	397.557
551.832	79.859	400.849	-462.746	50.294	397.574
551.842	79.860	400.842	-462.747	50.301	397.575
551.842	79.860	400.842	-462.736	50.301	397.581
551.847	79.858	400.857	-462.746	50.321	397.572
551.847	79.872	400.857	-462.756	50.322	397.565
551.856	79.873	400.848	-462.736	50.314	397.579
551.862	79.878	400.864	-462.739	50.318	397.597
551.862	79.878	400.864	-462.726	50.314	397.588
551.875	79.884	400.869	-462.739	50.305	397.599
551.877	79.884	400.871	-462.738	50.325	397.596
551.876	79.891	400.870	-462.739	50.332	397.596
551.890	79.897	400.877	-462.739	50.332	397.596
551.890	79.897	400.877	-462.740	50.325	397.597
551.890	79.897	400.877	-462.725	50.334	397.585
551.896	79.901	400.893	-462.726	50.334	397.586
551.905	79.903	400.884	-462.727	50.327	397.587
551.911	79.901	400.900	-462.720	50.324	397.613
551.920	79.909	400.891	-462.717	50.327	397.596
551.925	79.914	400.906	-462.720	50.317	397.614
551.925	79.920	400.906	-462.720	50.324	397.613
551.919	79.916	400.890	-462.720	50.338	397.612
551.929	79.923	400.882	-462.718	50.333	397.596
551.933	79.928	400.896	-462.717	50.333	397.595
551.942	79.930	400.887	-462.717	50.327	397.596
551.942	79.930	400.887	-462.718	50.333	397.596
551.943	79.936	400.887	-462.722	50.331	397.614
551.956	79.943	400.893	-462.718	50.333	397.596
551.957	79.936	400.894	-462.719	50.333	397.597
551.957	79.936	400.894	-462.709	50.333	397.604
551.965	79.944	400.883	-462.709	50.326	397.605
551.965	79.944	400.883	-462.709	50.326	397.605
551.976	79.945	400.876	-462.708	50.326	397.604
551.976	79.945	400.876	-462.709	50.326	397.605
551.975	79.952	400.875	-462.718	50.320	397.597
551.990	79.945	400.882	-462.719	50.313	397.599
551.990	79.945	400.882	-462.717	50.327	397.596
551.993	79.961	400.857	-462.705	50.315	397.588
551.999	79.952	400.874	-462.713	50.316	397.578
551.999	79.972	400.874	-462.714	50.302	397.580
551.999	79.959	400.873	-462.700	50.297	397.569
552.008	79.967	400.864	-462.714	50.309	397.579
552.013	79.959	400.879	-462.710	50.291	397.562
552.022	79.960	400.870	-462.712	50.289	397.579
552.022	79.967	400.871	-462.702	50.295	397.586
552.031	79.961	400.861	-462.714	50.286	397.596
552.037	79.966	400.877	-462.715	50.273	397.598
552.037	79.960	400.876	-462.707	50.264	397.562
552.052	79.952	400.884	-462.710	50.248	397.581
552.051	79.959	400.882	-462.707	50.244	397.563
552.051	79.959	400.882	-462.707	50.244	397.563
552.060	79.954	400.872	-462.709	50.249	397.579
552.061	79.947	400.874	-462.705	50.238	397.561
552.075	79.953	400.879	-462.705	50.231	397.562
552.075	79.953	400.879	-462.715	50.225	397.555
552.075	79.953	400.879	-462.713	50.211	397.554
552.076	79.946	400.880	-462.723	50.205	397.547
552.084	79.941	400.870	-462.712	50.205	397.554
552.091	79.939	400.887	-462.713	50.198	397.555
552.091	79.939	400.887	-462.713	50.198	397.555
552.091	79.939	400.887	-462.711	50.198	397.553
552.100	79.940	400.878	-462.713	50.198	397.555
552.101	79.933	400.879	-462.712	50.184	397.555
552.110	79.935	400.870	-462.720	50.192	397.545
552.110	79.935	400.870	-462.720	50.185	397.546
552.110	79.935	400.870	-462.721	50.185	397.547
552.119	79.936	400.861	-462.722	50.205	397.545
552.124	79.928	400.875	-462.721	50.199	397.545
552.125	79.934	400.876	-462.721	50.199	397.545
552.126	79.927	400.877	-462.711	50.198	397.553
552.139	79.934	400.882	-462.714	50.196	397.570
552.140	79.920	400.883	-462.715	50.202	397.571
552.145	79.918	400.898	-462.711	50.198	397.553
552.154	79.920	400.889	-462.705	50.202	397.579
552.150	79.915	400.875	-462.714	50.209	397.570
552.155	79.906	400.890	-462.706	50.215	397.579
552.173	79.909	400.871	-462.716	50.229	397.570
552.164	79.901	400.880	-462.706	50.229	397.578
552.178	79.900	400.886	-462.704	50.231	397.561
552.178	79.900	400.886	-462.707	50.249	397.576
552.187	79.895	400.876	-462.708	50.242	397.579
552.187	79.895	400.876	-462.709	50.249	397.579
552.201	79.888	400.881	-462.714	50.280	397.595
552.202	79.881	400.883	-462.716	50.286	397.597
552.201	79.882	400.881	-462.702	50.282	397.587
552.210	79.896	400.871	-462.703	50.302	397.587
552.210	79.896	400.871	-462.706	50.322	397.588
552.209	79.890	400.870	-462.709	50.326	397.605
552.218	79.891	400.861	-462.711	50.339	397.606
552.224	79.889	400.876	-462.707	50.349	397.587
552.234	79.884	400.868	-462.702	50.352	397.614
552.233	79.891	400.867	-462.703	50.365	397.613
552.233	79.884	400.866	-462.694	50.385	397.620
552.234	79.884	400.868	-462.704	50.386	397.613
552.242	79.879	400.858	-462.708	50.396	397.631
552.242	79.892	400.858	-462.705	50.413	397.612
552.252	79.886	400.850	-462.696	50.405	397.621
