NO_OF_FRAMES	1717
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:09:02.604	117623.99684550
DATA_INCLUDED	3D
MARKER_NAMES	a
TRAJECTORY_TYPES	Measured
a X	a Y	a Z	
-415.189	52.300	397.546
-415.205	52.305	397.557
-415.206	52.311	397.557
-415.215	52.319	397.548
-415.215	52.319	397.548
-415.216	52.325	397.548
-415.216	52.325	397.548
-415.219	52.330	397.565
-415.216	52.325	397.548
-415.216	52.325	397.548
-415.216	52.325	397.548
-415.215	52.332	397.547
-415.215	52.319	397.548
-415.219	52.330	397.565
-415.220	52.323	397.566
-415.216	52.339	397.548
-415.215	52.332	397.547
-415.206	52.332	397.556
-415.210	52.329	397.574
-415.211	52.336	397.574
-415.207	52.338	397.556
-415.215	52.332	397.547
-415.216	52.339	397.548
-415.206	52.332	397.556
-415.220	52.336	397.566
-415.216	52.339	397.548
-415.219	52.330	397.565
-415.216	52.339	397.548
-415.220	52.323	397.566
-415.209	52.316	397.574
-415.209	52.316	397.574
-415.215	52.319	397.548
-415.219	52.316	397.566
-415.208	52.309	397.574
-415.218	52.310	397.565
-415.209	52.302	397.575
-415.218	52.303	397.566
-415.213	52.299	397.548
-415.214	52.305	397.548
-415.208	52.295	397.575
-415.204	52.298	397.557
-415.207	52.296	397.573
-415.207	52.296	397.573
-415.212	52.292	397.548
-415.213	52.299	397.548
-415.216	52.296	397.565
-415.213	52.285	397.549
-415.211	52.285	397.547
-415.216	52.289	397.566
-415.226	52.290	397.557
-415.216	52.289	397.566
-415.215	52.283	397.565
-415.225	52.283	397.557
-415.215	52.283	397.565
-415.222	52.286	397.540
-415.221	52.279	397.540
-415.211	52.272	397.548
-415.211	52.272	397.548
-415.221	52.279	397.540
-415.211	52.285	397.547
-415.225	52.276	397.558
-415.216	52.276	397.566
-415.213	52.285	397.549
-415.216	52.289	397.566
-415.213	52.292	397.549
-415.227	52.290	397.558
-415.217	52.296	397.566
-415.218	52.303	397.566
-415.218	52.310	397.565
-415.215	52.319	397.548
-415.209	52.316	397.574
-415.214	52.326	397.547
-415.208	52.316	397.573
-415.205	52.318	397.557
-415.210	52.329	397.574
-415.208	52.336	397.572
-415.210	52.336	397.573
-415.206	52.345	397.555
-415.206	52.345	397.555
-415.206	52.352	397.555
-415.198	52.358	397.564
-415.201	52.362	397.581
-415.201	52.362	397.581
-415.202	52.369	397.581
-415.212	52.363	397.573
-415.203	52.362	397.582
-415.209	52.372	397.556
-415.209	52.365	397.557
-415.210	52.372	397.557
-415.210	52.379	397.556
-415.225	52.377	397.567
-415.225	52.377	397.567
-415.215	52.376	397.575
-415.216	52.383	397.576
-415.216	52.389	397.575
-415.225	52.390	397.566
-415.211	52.385	397.556
-415.225	52.383	397.567
-415.225	52.383	397.567
-415.220	52.379	397.549
-415.220	52.379	397.549
-415.225	52.377	397.567
-415.220	52.372	397.548
-415.232	52.384	397.556
-415.219	52.359	397.549
-415.223	52.363	397.566
-415.221	52.350	397.565
-415.221	52.350	397.565
-415.220	52.336	397.566
-415.220	52.336	397.566
-415.210	52.329	397.574
-415.218	52.323	397.565
-415.218	52.323	397.565
-415.219	52.316	397.566
-415.218	52.310	397.565
-415.218	52.303	397.566
-415.207	52.289	397.574
-415.217	52.296	397.566
-415.213	52.299	397.548
-415.213	52.292	397.549
-415.216	52.289	397.566
-415.216	52.289	397.566
-415.215	52.283	397.565
-415.226	52.290	397.557
-415.215	52.283	397.565
-415.212	52.278	397.548
-415.212	52.278	397.548
-415.214	52.276	397.565
-415.216	52.276	397.566
-415.225	52.283	397.557
-415.212	52.292	397.548
-415.211	52.285	397.547
-415.225	52.283	397.557
-415.215	52.283	397.565
-415.222	52.292	397.539
-415.215	52.290	397.564
-415.216	52.296	397.565
-415.217	52.303	397.565
-415.218	52.303	397.566
-415.223	52.299	397.539
-415.227	52.310	397.557
-415.218	52.310	397.565
-415.215	52.319	397.548
-415.218	52.303	397.566
-415.215	52.319	397.548
-415.219	52.309	397.567
-415.219	52.316	397.566
-415.205	52.318	397.557
-415.220	52.323	397.566
-415.216	52.319	397.549
-415.216	52.325	397.548
-415.216	52.319	397.549
-415.216	52.319	397.549
-415.217	52.339	397.549
-415.220	52.336	397.566
-415.217	52.332	397.549
-415.216	52.339	397.548
-415.220	52.336	397.566
-415.231	52.344	397.557
-415.216	52.339	397.548
-415.220	52.336	397.566
-415.221	52.350	397.565
-415.221	52.350	397.565
-415.221	52.350	397.565
-415.221	52.350	397.565
-415.220	52.350	397.564
-415.221	52.350	397.565
-415.210	52.343	397.573
-415.206	52.345	397.555
-415.220	52.357	397.564
-415.220	52.350	397.564
-415.206	52.345	397.555
-415.220	52.336	397.566
-415.220	52.336	397.566
-415.210	52.329	397.574
-415.220	52.323	397.566
-415.206	52.332	397.556
-415.210	52.329	397.574
-415.220	52.323	397.566
-415.209	52.322	397.574
-415.209	52.316	397.574
-415.219	52.309	397.567
-415.218	52.310	397.565
-415.219	52.330	397.565
-415.228	52.317	397.557
-415.228	52.317	397.557
-415.219	52.316	397.566
-415.215	52.319	397.548
-415.224	52.319	397.539
-415.214	52.312	397.548
-415.228	52.317	397.557
-415.228	52.317	397.557
-415.219	52.316	397.566
-415.214	52.305	397.548
-415.224	52.319	397.539
-415.218	52.310	397.565
-415.227	52.310	397.557
-415.228	52.310	397.558
-415.224	52.319	397.539
-415.214	52.305	397.548
-415.214	52.305	397.548
-415.213	52.299	397.548
-415.218	52.310	397.565
-415.213	52.299	397.548
-415.218	52.296	397.567
-415.218	52.310	397.565
-415.217	52.296	397.566
-415.213	52.299	397.548
-415.217	52.296	397.566
-415.204	52.298	397.557
-415.214	52.305	397.548
-415.204	52.298	397.557
-415.218	52.296	397.567
-415.204	52.298	397.557
-415.218	52.310	397.565
-415.214	52.305	397.548
-415.218	52.310	397.565
-415.214	52.305	397.548
-415.204	52.311	397.556
-415.213	52.305	397.547
-415.214	52.312	397.548
-415.213	52.319	397.547
-415.208	52.309	397.574
-415.223	52.319	397.538
-415.217	52.316	397.565
-415.213	52.319	397.547
-415.214	52.326	397.547
-415.210	52.329	397.574
-415.219	52.330	397.565
-415.220	52.323	397.566
-415.220	52.336	397.566
-415.207	52.338	397.556
-415.221	52.343	397.566
-415.217	52.352	397.547
-415.223	52.356	397.567
-415.223	52.363	397.566
-415.223	52.356	397.567
-415.213	52.369	397.574
-415.214	52.369	397.575
-415.220	52.372	397.548
-415.220	52.379	397.549
-415.221	52.386	397.549
-415.215	52.383	397.574
-415.222	52.392	397.549
-415.212	52.406	397.556
-415.216	52.410	397.573
-415.212	52.406	397.556
-415.217	52.416	397.574
-415.207	52.416	397.582
-415.208	52.429	397.582
-415.209	52.443	397.581
-415.209	52.436	397.582
-415.209	52.436	397.582
-415.205	52.452	397.564
-415.210	52.463	397.581
-415.214	52.447	397.599
-415.210	52.450	397.582
-415.197	52.451	397.574
-415.201	52.463	397.590
-415.211	52.470	397.581
-415.211	52.470	397.581
-415.211	52.477	397.581
-415.211	52.477	397.581
-415.211	52.477	397.581
-415.201	52.463	397.590
-415.202	52.469	397.590
-415.201	52.476	397.589
-415.205	52.473	397.607
-415.212	52.476	397.582
-415.211	52.477	397.581
-415.202	52.462	397.591
-415.216	52.467	397.601
-415.212	52.476	397.582
-415.212	52.483	397.581
-415.213	52.483	397.582
-415.215	52.467	397.599
-415.212	52.483	397.581
-415.212	52.476	397.582
-415.211	52.470	397.581
-415.211	52.463	397.582
-415.211	52.463	397.582
-415.211	52.463	397.582
-415.210	52.456	397.582
-415.210	52.456	397.582
-415.210	52.450	397.582
-415.220	52.457	397.573
-415.224	52.454	397.591
-415.211	52.449	397.583
-415.210	52.450	397.582
-415.210	52.450	397.582
-415.210	52.450	397.582
-415.210	52.450	397.582
-415.209	52.436	397.582
-415.210	52.450	397.582
-415.210	52.463	397.581
