NO_OF_FRAMES	1844
NO_OF_CAMERAS	2
NO_OF_MARKERS	1
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 10:08:10.435	117571.82842120
DATA_INCLUDED	3D
MARKER_NAMES	b
TRAJECTORY_TYPES	Measured
b X	b Y	b Z	
-538.964	50.124	397.084
-538.985	50.124	397.072
-538.975	50.138	397.077
-538.986	50.117	397.074
-538.982	50.134	397.051
-538.992	50.141	397.044
-538.993	50.168	397.040
-538.984	50.154	397.051
-538.992	50.141	397.044
-538.990	50.164	397.022
-538.993	50.148	397.044
-538.983	50.168	397.048
-538.980	50.184	397.027
-538.986	50.192	397.065
-538.987	50.165	397.069
-538.983	50.195	397.045
-538.984	50.181	397.048
-538.983	50.209	397.043
-538.996	50.213	397.055
-538.983	50.202	397.044
-538.984	50.195	397.047
-538.984	50.201	397.046
-538.986	50.233	397.059
-538.980	50.225	397.021
-538.984	50.215	397.043
-538.986	50.178	397.067
-538.976	50.212	397.069
-538.969	50.223	397.094
-538.973	50.229	397.047
-538.973	50.229	397.047
-538.985	50.240	397.056
-538.965	50.187	397.062
-538.973	50.222	397.048
-538.973	50.229	397.047
-538.973	50.222	397.048
-538.977	50.212	397.071
-538.983	50.229	397.041
-538.974	50.235	397.048
-538.972	50.218	397.032
-538.987	50.240	397.060
-538.972	50.231	397.030
-538.981	50.259	397.019
-538.976	50.240	397.066
-538.984	50.242	397.040
-538.974	50.249	397.047
-538.984	50.249	397.039
-538.971	50.272	397.024
-538.973	50.265	397.027
-538.981	50.259	397.019
-538.987	50.246	397.060
-538.984	50.270	397.037
-538.984	50.263	397.038
-538.988	50.260	397.060
-538.987	50.267	397.057
-538.975	50.276	397.044
-538.985	50.276	397.038
-538.986	50.256	397.041
-538.975	50.255	397.048
-538.974	50.265	397.029
-538.988	50.232	397.063
-538.985	50.262	397.040
-538.988	50.260	397.060
-538.974	50.244	397.032
-538.977	50.241	397.052
-538.989	50.239	397.063
-538.988	50.260	397.060
-538.988	50.253	397.061
-538.976	50.255	397.049
-538.986	50.269	397.041
-538.974	50.237	397.034
-538.978	50.261	397.052
-538.986	50.276	397.039
-538.989	50.266	397.060
-538.978	50.261	397.052
-538.989	50.300	397.056
-538.980	50.272	397.068
-538.976	50.289	397.045
-538.987	50.282	397.040
-538.982	50.288	397.001
-538.975	50.285	397.029
-538.988	50.289	397.041
-538.977	50.282	397.048
-538.987	50.289	397.039
-538.977	50.268	397.049
-538.989	50.266	397.060
