NO_OF_FRAMES	1983
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:22:53.448	122054.83242410
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Measured	Measured
b X	b Y	b Z	a X	a Y	a Z	
601.678	81.055	401.359	-481.146	48.342	397.815
601.671	81.057	401.341	-481.173	48.351	397.837
601.671	81.057	401.341	-481.175	48.365	397.838
601.676	81.062	401.356	-481.171	48.374	397.818
601.670	81.058	401.339	-481.171	48.374	397.818
601.670	81.058	401.339	-481.172	48.374	397.820
601.670	81.058	401.339	-481.164	48.387	397.827
601.670	81.058	401.339	-481.163	48.394	397.826
601.674	81.067	401.315	-481.163	48.394	397.826
601.679	81.059	401.330	-481.163	48.394	397.826
601.679	81.059	401.330	-481.160	48.389	397.809
601.670	81.058	401.339	-481.152	48.395	397.817
601.679	81.059	401.330	-481.153	48.402	397.818
601.670	81.051	401.338	-481.153	48.402	397.818
601.679	81.059	401.330	-481.152	48.409	397.817
601.669	81.064	401.338	-481.153	48.416	397.817
601.671	81.051	401.340	-481.153	48.422	397.816
601.678	81.066	401.329	-481.141	48.431	397.806
601.674	81.061	401.314	-481.141	48.431	397.806
601.674	81.061	401.314	-481.135	48.428	397.833
601.665	81.060	401.323	-481.142	48.445	397.806
601.664	81.066	401.322	-481.138	48.454	397.786
601.670	81.058	401.339	-481.128	48.440	397.795
601.670	81.058	401.339	-481.131	48.444	397.812
601.674	81.061	401.314	-481.119	48.453	397.802
601.671	81.051	401.340	-481.122	48.444	397.821
601.666	81.053	401.325	-481.119	48.453	397.802
601.680	81.052	401.332	-481.118	48.446	397.802
601.670	81.058	401.339	-481.110	48.459	397.810
601.671	81.057	401.341	-481.109	48.453	397.809
601.680	81.058	401.332	-481.109	48.446	397.810
601.670	81.058	401.339	-481.109	48.453	397.809
601.666	81.053	401.325	-481.103	48.450	397.836
601.671	81.051	401.340	-481.109	48.453	397.809
601.665	81.066	401.324	-481.095	48.448	397.798
601.672	81.064	401.342	-481.099	48.439	397.818
