NO_OF_FRAMES	1756
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:30:20.760	122502.14475260
DATA_INCLUDED	3D
MARKER_NAMES	a	b
TRAJECTORY_TYPES	Measured	Measured
a X	a Y	a Z	b X	b Y	b Z	
-477.211	48.788	397.764	601.680	81.237	401.348
-477.233	48.816	397.749	601.685	81.235	401.364
-477.233	48.823	397.748	601.679	81.243	401.346
-477.233	48.823	397.748	601.684	81.242	401.362
-477.237	48.827	397.767	601.684	81.235	401.362
-477.234	48.822	397.750	601.684	81.242	401.362
-477.235	48.829	397.750	601.693	81.236	401.353
-477.226	48.828	397.758	601.679	81.237	401.346
-477.240	48.853	397.767	601.679	81.237	401.346
-477.237	48.849	397.750	601.684	81.235	401.362
-477.238	48.849	397.751	601.683	81.242	401.360
-477.237	48.862	397.749	601.684	81.235	401.362
-477.235	48.845	397.734	601.683	81.242	401.360
-477.228	48.848	397.760	601.683	81.242	401.360
-477.228	48.862	397.757	601.684	81.235	401.362
-477.229	48.862	397.759	601.679	81.237	401.346
-477.229	48.862	397.759	601.684	81.235	401.362
-477.219	48.875	397.765	601.684	81.235	401.362
-477.219	48.875	397.765	601.684	81.235	401.362
-477.210	48.881	397.774	601.684	81.235	401.362
-477.219	48.882	397.764	601.684	81.235	401.362
-477.209	48.881	397.772	601.684	81.235	401.362
-477.212	48.885	397.790	601.685	81.228	401.363
-477.200	48.881	397.781	601.689	81.233	401.378
-477.210	48.888	397.773	601.689	81.233	401.378
-477.200	48.888	397.780	601.690	81.233	401.380
-477.189	48.880	397.787	601.690	81.233	401.380
-477.200	48.888	397.780	601.690	81.233	401.380
-477.186	48.876	397.770	601.690	81.233	401.380
-477.192	48.885	397.805	601.695	81.231	401.396
-477.180	48.880	397.796	601.694	81.238	401.394
-477.180	48.880	397.796	601.694	81.231	401.393
-477.189	48.880	397.787	601.689	81.233	401.378
-477.177	48.883	397.777	601.690	81.226	401.379
-477.177	48.876	397.778	601.695	81.224	401.395
-477.180	48.873	397.797	601.689	81.233	401.378
-477.178	48.882	397.779	601.689	81.233	401.378
-477.186	48.876	397.770	601.689	81.233	401.378
-477.185	48.870	397.769	601.690	81.226	401.379
-477.177	48.869	397.779	601.690	81.226	401.379
-477.176	48.862	397.779	601.684	81.235	401.362
-477.187	48.869	397.771	601.685	81.228	401.363
-477.186	48.856	397.772	601.685	81.228	401.363
-477.188	48.853	397.789	601.685	81.228	401.363
-477.185	48.863	397.769	601.680	81.230	401.347
-477.181	48.859	397.751	601.685	81.228	401.363
-477.194	48.864	397.761	601.685	81.228	401.363
-477.193	48.850	397.761	601.682	81.223	401.350
-477.191	48.859	397.743	601.681	81.216	401.349
-477.189	48.846	397.742	601.681	81.230	401.349
-477.193	48.857	397.760	601.677	81.225	401.334
-477.189	48.846	397.742	601.682	81.223	401.350
-477.189	48.860	397.740	601.682	81.223	401.350
-477.179	48.859	397.749	601.682	81.223	401.350
-477.189	48.846	397.742	601.683	81.216	401.351
-477.188	48.853	397.740	601.682	81.223	401.350
-477.188	48.839	397.742	601.681	81.230	401.349
-477.188	48.846	397.741	601.682	81.229	401.351
-477.188	48.839	397.742	601.681	81.230	401.349
-477.188	48.839	397.742	601.687	81.227	401.367
-477.178	48.839	397.749	601.682	81.229	401.351
-477.178	48.832	397.750	601.682	81.229	401.351
-477.178	48.825	397.751	601.682	81.229	401.351
-477.177	48.833	397.748	601.687	81.227	401.367
-477.167	48.819	397.757	601.687	81.227	401.367
-477.170	48.823	397.775	601.687	81.227	401.367
-477.157	48.825	397.764	601.687	81.227	401.367
-477.156	48.818	397.764	601.688	81.220	401.368
-477.154	48.807	397.747	601.692	81.225	401.383
-477.157	48.811	397.765	601.688	81.220	401.368
-477.156	48.818	397.764	601.688	81.220	401.368
-477.146	48.804	397.773	601.693	81.218	401.384
-477.156	48.818	397.764	601.688	81.227	401.369
-477.147	48.818	397.772	601.692	81.225	401.383
-477.157	48.811	397.765	601.693	81.225	401.385
-477.148	48.818	397.774	601.692	81.232	401.384
-477.148	48.824	397.773	601.692	81.232	401.384
-477.148	48.824	397.773	601.692	81.232	401.384
-477.138	48.824	397.781	601.693	81.225	401.385
-477.159	48.831	397.766	601.692	81.232	401.384
-477.153	48.842	397.791	601.682	81.231	401.391
-477.149	48.844	397.772	601.691	81.239	401.383
-477.149	48.838	397.773	601.691	81.239	401.383
-477.149	48.838	397.773	601.691	81.232	401.382
-477.151	48.858	397.773	601.691	81.232	401.382
-477.150	48.844	397.774	601.686	81.234	401.366
-477.151	48.858	397.773	601.685	81.235	401.364
-477.151	48.851	397.774	601.685	81.235	401.364
-477.151	48.851	397.774	601.684	81.242	401.362
-477.158	48.861	397.748	601.680	81.237	401.348
-477.149	48.853	397.757	601.685	81.228	401.363
-477.161	48.844	397.767	601.686	81.221	401.364
-477.162	48.851	397.768	601.685	81.228	401.363
-477.153	48.844	397.777	601.680	81.230	401.347
-477.148	48.840	397.758	601.680	81.217	401.347
-477.159	48.820	397.753	601.679	81.224	401.346
-477.160	48.847	397.751	601.684	81.215	401.361
-477.149	48.833	397.759	601.679	81.217	401.345
-477.156	48.829	397.735	601.679	81.217	401.345
-477.159	48.833	397.752	601.684	81.215	401.361
-477.157	48.836	397.735	601.683	81.215	401.359
-477.147	48.822	397.744	601.679	81.211	401.344
-477.158	48.822	397.737	601.679	81.211	401.344
-477.157	48.829	397.736	601.678	81.217	401.343
-477.148	48.821	397.745	601.679	81.211	401.344
-477.157	48.836	397.735	601.678	81.217	401.343
-477.151	48.839	397.761	601.682	81.222	401.358
-477.158	48.842	397.735	601.683	81.222	401.360
-477.148	48.835	397.743	601.683	81.222	401.360
-477.147	48.822	397.744	601.678	81.224	401.344
-477.147	48.822	397.744	601.684	81.215	401.361
-477.147	48.835	397.742	601.684	81.222	401.362
-477.139	48.839	397.766	601.684	81.228	401.361
-477.138	48.826	397.767	601.690	81.220	401.378
-477.126	48.828	397.756	601.690	81.226	401.379
-477.138	48.839	397.765	601.690	81.226	401.379
-477.128	48.832	397.772	601.685	81.228	401.363
-477.128	48.825	397.774	601.691	81.219	401.380
-477.124	48.815	397.756	601.691	81.219	401.380
-477.118	48.818	397.781	601.691	81.219	401.380
-477.115	48.814	397.764	601.691	81.219	401.380
-477.124	48.815	397.756	601.692	81.212	401.381
-477.114	48.821	397.763	601.691	81.206	401.380
-477.117	48.825	397.780	601.692	81.212	401.381
-477.118	48.818	397.781	601.691	81.206	401.380
-477.113	48.814	397.762	601.691	81.206	401.380
-477.103	48.800	397.771	601.696	81.211	401.395
-477.114	48.807	397.763	601.692	81.212	401.381
-477.104	48.814	397.771	601.690	81.213	401.379
-477.115	48.807	397.765	601.706	81.205	401.388
-477.104	48.807	397.772	601.691	81.219	401.380
-477.105	48.807	397.773	601.691	81.206	401.380
-477.095	48.800	397.781	601.691	81.206	401.380
-477.101	48.803	397.754	601.686	81.208	401.365
-477.102	48.816	397.753	601.686	81.208	401.365
-477.102	48.796	397.755	601.686	81.208	401.365
-477.102	48.816	397.753	601.685	81.215	401.363
-477.103	48.816	397.755	601.686	81.208	401.365
-477.102	48.823	397.752	601.687	81.201	401.366
-477.101	48.830	397.751	601.696	81.209	401.358
-477.092	48.829	397.760	601.686	81.208	401.365
-477.093	48.836	397.760	601.681	81.216	401.349
-477.093	48.836	397.760	601.687	81.207	401.367
-477.092	48.836	397.759	601.696	81.209	401.358
-477.093	48.836	397.760	601.681	81.216	401.349
-477.094	48.843	397.761	601.681	81.216	401.349
-477.083	48.835	397.768	601.682	81.209	401.351
-477.093	48.849	397.759	601.681	81.216	401.349
-477.093	48.849	397.759	601.677	81.225	401.334
-477.084	48.849	397.768	601.682	81.223	401.350
-477.080	48.845	397.749	601.682	81.223	401.350
-477.084	48.829	397.769	601.686	81.228	401.365
-477.069	48.838	397.757	601.682	81.223	401.350
-477.073	48.835	397.775	601.682	81.223	401.350
-477.069	48.838	397.757	601.687	81.221	401.366
-477.060	48.837	397.765	601.687	81.221	401.366
-477.060	48.830	397.766	601.673	81.221	401.359
-477.063	48.842	397.782	601.687	81.221	401.366
-477.063	48.835	397.783	601.687	81.221	401.366
