NO_OF_FRAMES	3673
NO_OF_CAMERAS	2
NO_OF_MARKERS	2
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 11:43:17.925	123279.30851500
DATA_INCLUDED	3D
MARKER_NAMES	b	a
TRAJECTORY_TYPES	Mixed	Measured
b X	b Y	b Z	a X	a Y	a Z	
601.718	81.223	401.353	-461.310	49.250	397.763
601.717	81.230	401.352	-461.338	49.265	397.737
601.709	81.222	401.362	-461.338	49.265	397.737
601.709	81.222	401.362	-461.339	49.272	397.738
601.709	81.215	401.361	-461.338	49.272	397.736
601.723	81.221	401.369	-461.338	49.272	397.736
601.709	81.222	401.362	-461.342	49.263	397.756
601.714	81.220	401.378	-461.338	49.259	397.737
601.709	81.222	401.362	-461.328	49.265	397.744
601.714	81.220	401.378	-461.318	49.258	397.752
601.714	81.220	401.378	-461.327	49.252	397.745
601.714	81.220	401.378	-461.328	49.258	397.745
601.714	81.213	401.377	-461.327	49.252	397.745
601.700	81.214	401.370	-461.318	49.258	397.752
601.714	81.220	401.378	-461.317	49.238	397.754
601.705	81.212	401.386	-461.326	49.245	397.745
601.710	81.210	401.402	-461.321	49.242	397.771
601.706	81.205	401.388	-461.316	49.231	397.753
601.705	81.199	401.387	-461.316	49.238	397.752
601.705	81.199	401.387	-461.316	49.231	397.753
601.706	81.192	401.388	-461.316	49.218	397.754
601.701	81.187	401.371	-461.326	49.218	397.747
601.705	81.192	401.386	-461.325	49.218	397.746
601.701	81.187	401.371	-461.316	49.211	397.755
601.706	81.185	401.387	-461.324	49.211	397.745
601.701	81.187	401.371	-461.324	49.211	397.745
601.701	81.181	401.370	-461.321	49.200	397.729
601.692	81.172	401.381	-461.311	49.193	397.737
601.701	81.174	401.372	-461.313	49.191	397.754
601.701	81.174	401.372	-461.311	49.200	397.736
601.692	81.166	401.380	-461.310	49.200	397.734
601.701	81.167	401.371	-461.314	49.197	397.754
601.706	81.165	401.387	-461.311	49.200	397.736
601.706	81.165	401.387	-461.324	49.198	397.746
601.701	81.181	401.370	-461.321	49.214	397.727
601.700	81.174	401.370	-461.311	49.207	397.735
601.709	81.175	401.361	-461.320	49.207	397.726
601.705	81.172	401.385	-461.311	49.200	397.736
601.714	81.167	401.376	-461.322	49.207	397.729
601.709	81.175	401.361	-461.321	49.207	397.728
601.700	81.174	401.370	-461.318	49.210	397.709
601.708	81.176	401.359	-461.311	49.200	397.736
601.709	81.169	401.360	-461.322	49.207	397.729
601.714	81.173	401.377	-461.318	49.210	397.709
601.714	81.167	401.376	-461.319	49.210	397.711
601.714	81.160	401.375	-461.312	49.193	397.738
601.714	81.167	401.376	-461.308	49.202	397.719
601.715	81.160	401.377	-461.322	49.207	397.729
601.714	81.167	401.376	-461.319	49.210	397.711
601.714	81.173	401.377	-461.312	49.200	397.737
601.714	81.167	401.376	-461.303	49.199	397.746
601.724	81.175	401.368	-461.322	49.214	397.728
601.709	81.169	401.360	-461.300	49.215	397.727
601.714	81.180	401.375	-461.310	49.216	397.720
601.708	81.196	401.359	-461.303	49.213	397.745
601.718	81.197	401.352	-461.310	49.223	397.719
601.714	81.187	401.376	-461.314	49.213	397.738
601.713	81.200	401.376	-461.313	49.234	397.735
601.714	81.193	401.377	-461.301	49.222	397.727
601.713	81.200	401.376	-461.300	49.229	397.726
601.713	81.207	401.377	-461.304	49.226	397.744
601.713	81.207	401.377	-461.301	49.242	397.725
601.713	81.207	401.377	-461.294	49.226	397.753
601.713	81.207	401.377	-461.300	49.236	397.725
601.714	81.213	401.377	-461.294	49.239	397.751
601.706	81.205	401.388	-461.300	49.243	397.724
601.706	81.212	401.388	-461.295	49.246	397.751
601.706	81.212	401.388	-461.295	49.246	397.751
601.706	81.212	401.388	-461.304	49.253	397.742
601.706	81.212	401.388	-461.294	49.253	397.750
601.701	81.214	401.372	-461.294	49.253	397.750
601.705	81.219	401.387	-461.294	49.253	397.750
601.705	81.219	401.387	-461.305	49.253	397.743
601.706	81.212	401.388	-461.296	49.253	397.752
601.705	81.212	401.386	-461.296	49.253	397.752
601.704	81.219	401.385	-461.286	49.252	397.760
601.704	81.225	401.386	-461.296	49.266	397.751
601.704	81.219	401.385	-461.293	49.262	397.734
601.704	81.219	401.385	-461.297	49.252	397.753
601.704	81.219	401.385	-461.297	49.266	397.752
601.698	81.228	401.368	-461.287	49.259	397.760
601.703	81.226	401.384	-461.297	49.252	397.753
601.697	81.221	401.367	-461.294	49.262	397.735
601.697	81.221	401.367	-461.294	49.262	397.735
601.697	81.221	401.367	-461.298	49.259	397.753
601.698	81.214	401.368	-461.298	49.259	397.753
601.697	81.221	401.367	-461.294	49.262	397.735
601.698	81.214	401.368	-461.294	49.269	397.734
601.698	81.214	401.368	-461.307	49.253	397.746
601.698	81.214	401.368	-461.303	49.256	397.726
601.694	81.209	401.354	-461.293	49.255	397.735
601.699	81.201	401.369	-461.292	49.248	397.734
601.709	81.202	401.362	-461.292	49.248	397.734
601.708	81.202	401.360	-461.291	49.242	397.734
601.709	81.202	401.362	-461.291	49.235	397.733
601.709	81.195	401.361	-461.294	49.226	397.753
601.710	81.188	401.362	-461.291	49.235	397.733
601.709	81.195	401.361	-461.284	49.219	397.761
601.710	81.188	401.362	-461.280	49.228	397.741
601.709	81.195	401.361	-461.281	49.214	397.743
601.723	81.195	401.368	-461.277	49.231	397.723
601.715	81.187	401.378	-461.271	49.207	397.751
601.715	81.187	401.378	-461.271	49.207	397.751
601.715	81.187	401.378	-461.280	49.228	397.741
601.714	81.187	401.376	-461.276	49.210	397.724
601.720	81.178	401.393	-461.270	49.201	397.751
601.729	81.179	401.384	-461.266	49.210	397.731
