NO_OF_FRAMES	2321
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 14:34:48.234	133569.57215300
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002	New 0003	New 0004	New 0005
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Measured
New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	
331.051	21.011	-14.036	288.457	157.820	-14.832	367.982	34.746	-13.900	286.938	193.899	-14.949	325.410	172.535	-14.654	357.980	-6.121	-13.934
331.042	21.018	-14.051	288.448	157.837	-14.847	367.973	34.755	-13.916	286.926	193.926	-14.965	325.399	172.563	-14.670	357.962	-6.104	-13.965
331.041	21.027	-14.051	288.446	157.838	-14.848	367.982	34.754	-13.900	286.916	193.926	-14.948	325.401	172.545	-14.669	357.971	-6.111	-13.950
331.042	21.018	-14.051	288.455	157.837	-14.833	367.973	34.755	-13.916	286.917	193.924	-14.948	325.390	172.560	-14.654	357.970	-6.102	-13.951
331.033	21.010	-14.035	288.456	157.844	-14.833	367.973	34.755	-13.916	286.925	193.935	-14.965	325.399	172.559	-14.638	357.961	-6.087	-13.966
331.050	21.026	-14.036	288.447	157.845	-14.848	367.982	34.754	-13.900	286.926	193.931	-14.934	325.398	172.568	-14.639	357.970	-6.102	-13.951
331.042	21.017	-14.020	288.455	157.837	-14.833	367.991	34.746	-13.884	286.935	193.931	-14.950	325.398	172.568	-14.639	357.970	-6.102	-13.951
331.051	21.011	-14.036	288.457	157.835	-14.832	367.973	34.755	-13.916	286.925	193.935	-14.965	325.410	172.543	-14.654	357.962	-6.096	-13.935
331.042	21.018	-14.051	288.456	157.844	-14.833	367.982	34.754	-13.900	286.936	193.916	-14.950	325.398	172.562	-14.639	357.971	-6.104	-13.950
331.033	21.026	-14.035	288.456	157.844	-14.833	367.982	34.754	-13.900	286.925	193.935	-14.965	325.408	172.568	-14.655	357.970	-6.102	-13.951
