NO_OF_FRAMES	2181
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 14:38:07.481	133768.81905150
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002	New 0003	New 0004	New 0005
TRAJECTORY_TYPES	Measured	Measured	Mixed	Measured	Measured	Measured
New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	
258.074	212.541	15.810	301.132	45.368	-14.340	253.024	223.194	-47.685	295.592	3.618	-14.327	330.821	21.030	-13.993	252.289	180.038	-15.180
258.064	212.549	15.795	301.123	45.384	-14.355	253.004	223.209	-47.683	295.583	3.618	-14.342	330.830	21.021	-14.008	252.285	180.068	-15.212
258.063	212.555	15.795	301.131	45.392	-14.372	253.006	223.207	-47.683	295.591	3.627	-14.328	330.821	21.038	-13.993	252.278	180.057	-15.195
258.064	212.547	15.795	301.131	45.400	-14.372	253.004	223.209	-47.683	295.582	3.620	-14.343	330.830	21.030	-14.009	252.278	180.072	-15.195
258.071	212.560	15.779	301.122	45.393	-14.356	253.004	223.209	-47.683	295.582	3.627	-14.343	330.829	21.047	-14.010	252.269	180.064	-15.178
258.071	212.558	15.778	301.131	45.400	-14.372	253.005	223.216	-47.683	295.582	3.627	-14.343	330.829	21.047	-14.010	252.287	180.066	-15.212
258.071	212.560	15.779	301.122	45.393	-14.356	253.004	223.209	-47.683	295.582	3.620	-14.343	330.829	21.039	-14.009	252.278	180.072	-15.195
258.070	212.564	15.778	301.131	45.394	-14.372	253.004	223.209	-47.683	295.582	3.628	-14.343	330.829	21.039	-14.009	252.277	180.066	-15.195
258.081	212.550	15.793	301.139	45.401	-14.358	253.004	223.209	-47.683	295.582	3.627	-14.343	330.829	21.039	-14.009	252.278	180.072	-15.195
258.070	212.551	15.779	301.140	45.393	-14.357	253.012	223.216	-47.668	295.582	3.620	-14.343	330.821	21.045	-13.993	252.278	180.072	-15.195
