NO_OF_FRAMES	2449
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 14:40:12.023	133893.36077270
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002	New 0003	New 0004	New 0005
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed	Mixed
New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	
214.913	109.008	-15.159	216.333	145.047	-15.215	353.259	42.392	-13.875	350.763	0.315	-13.936	252.905	120.650	-14.993	319.372	22.242	-14.181
214.869	108.948	-15.166	216.236	144.970	-15.214	353.249	42.410	-13.891	350.780	0.316	-13.937	252.842	120.615	-15.000	319.354	22.229	-14.180
214.836	108.877	-15.158	216.160	144.883	-15.214	353.249	42.410	-13.891	350.771	0.323	-13.952	252.806	120.601	-14.996	319.354	22.253	-14.181
214.811	108.829	-15.169	216.074	144.803	-15.198	353.257	42.419	-13.908	350.763	0.316	-13.936	252.754	120.562	-14.988	319.363	22.252	-14.197
214.786	108.774	-15.179	215.987	144.732	-15.213	353.249	42.395	-13.891	350.763	0.316	-13.936	252.702	120.515	-14.980	319.354	22.245	-14.212
214.761	108.704	-15.188	215.921	144.650	-15.200	353.267	42.402	-13.891	350.754	0.316	-13.952	252.658	120.477	-14.990	319.354	22.244	-14.212
214.735	108.644	-15.198	215.848	144.526	-15.186	353.268	42.387	-13.891	350.754	0.316	-13.952	252.607	120.436	-14.982	319.354	22.252	-14.212
214.701	108.553	-15.191	215.764	144.429	-15.200	353.267	42.395	-13.892	350.754	0.308	-13.951	252.564	120.411	-14.960	319.362	22.260	-14.197
214.679	108.441	-15.199	215.693	144.370	-15.219	353.267	42.395	-13.892	350.754	0.308	-13.951	252.521	120.364	-14.938	319.363	22.252	-14.197
214.645	108.341	-15.192	215.623	144.308	-15.237	353.267	42.395	-13.892	350.754	0.308	-13.951	252.469	120.309	-14.930	319.353	22.260	-14.212
