NO_OF_FRAMES	2187
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 14:54:34.035	134755.36972070
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002	New 0003	New 0004	New 0005
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Measured
New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	
262.283	271.529	-15.408	326.707	29.605	-14.208	363.927	42.427	-13.873	273.272	305.908	-15.417	301.910	272.489	-15.068	352.909	1.846	-13.961
262.280	271.555	-15.408	326.698	29.605	-14.223	363.927	42.428	-13.904	273.271	305.932	-15.418	301.897	272.515	-15.084	352.927	1.855	-13.994
262.281	271.561	-15.408	326.690	29.604	-14.207	363.927	42.436	-13.904	273.279	305.923	-15.402	301.889	272.502	-15.098	352.918	1.861	-13.977
262.279	271.570	-15.408	326.698	29.606	-14.223	363.926	42.444	-13.905	273.271	305.931	-15.418	301.889	272.502	-15.098	352.918	1.855	-14.009
262.278	271.575	-15.440	326.698	29.606	-14.223	363.927	42.443	-13.904	273.280	305.929	-15.403	301.898	272.523	-15.084	352.918	1.855	-13.978
262.277	271.584	-15.440	326.689	29.606	-14.238	363.926	42.444	-13.905	273.271	305.931	-15.418	301.888	272.518	-15.099	352.918	1.855	-13.978
262.268	271.590	-15.423	326.698	29.614	-14.224	363.926	42.444	-13.905	273.269	305.939	-15.418	301.887	272.510	-15.099	352.918	1.855	-13.978
262.268	271.585	-15.455	326.698	29.614	-14.224	363.926	42.452	-13.904	273.269	305.940	-15.418	301.887	272.526	-15.099	352.909	1.861	-13.993
262.269	271.581	-15.423	326.689	29.614	-14.208	363.918	42.452	-13.920	273.269	305.940	-15.418	301.892	272.554	-15.116	352.926	1.870	-13.994
262.267	271.594	-15.455	326.697	29.630	-14.224	363.926	42.452	-13.904	273.271	305.931	-15.418	301.887	272.527	-15.099	352.918	1.862	-13.977
262.277	271.584	-15.440	326.697	29.630	-14.224	363.917	42.460	-13.920	273.269	305.940	-15.418	301.886	272.519	-15.099	352.909	1.870	-13.993
262.268	271.586	-15.455	326.680	29.623	-14.223	363.917	42.460	-13.920	273.260	305.958	-15.433	301.886	272.535	-15.099	352.926	1.870	-13.994
262.268	271.589	-15.423	326.680	29.623	-14.223	363.926	42.459	-13.905	273.260	305.942	-15.433	301.895	272.544	-15.116	352.926	1.870	-13.994
262.276	271.592	-15.440	326.688	29.630	-14.239	363.917	42.460	-13.920	273.260	305.943	-15.432	301.885	272.528	-15.099	352.917	1.870	-14.009
262.267	271.594	-15.455	326.679	29.632	-14.223	363.917	42.460	-13.920	273.268	305.949	-15.418	301.895	272.545	-15.115	352.918	1.870	-13.978
262.267	271.594	-15.455	326.688	29.630	-14.239	363.917	42.460	-13.920	273.277	305.959	-15.435	301.886	272.550	-15.099	352.909	1.870	-13.993
262.277	271.599	-15.440	326.679	29.632	-14.223	363.908	42.459	-13.905	273.260	305.942	-15.433	301.894	272.537	-15.115	352.918	1.862	-13.977
262.277	271.584	-15.440	326.688	29.639	-14.239	363.926	42.460	-13.905	273.260	305.943	-15.432	301.885	272.543	-15.099	352.900	1.870	-13.977
262.283	271.603	-15.457	326.697	29.623	-14.224	363.917	42.460	-13.920	273.268	305.948	-15.418	301.892	272.555	-15.116	352.918	1.870	-13.978
262.267	271.594	-15.455	326.688	29.638	-14.239	363.917	42.460	-13.920	273.259	305.951	-15.433	301.887	272.542	-15.099	352.909	1.870	-13.993
262.268	271.601	-15.455	326.688	29.639	-14.239	363.917	42.460	-13.920	273.269	305.940	-15.418	301.894	272.537	-15.115	352.918	1.870	-13.978
262.268	271.585	-15.455	326.688	29.639	-14.239	363.917	42.468	-13.921	273.260	305.959	-15.433	301.883	272.567	-15.100	352.917	1.870	-14.009
262.268	271.601	-15.455	326.697	29.630	-14.224	363.917	42.460	-13.920	273.267	305.942	-15.418	301.883	272.561	-15.100	352.909	1.871	-13.993
262.276	271.592	-15.440	326.688	29.630	-14.239	363.917	42.460	-13.920	273.258	305.960	-15.433	301.886	272.534	-15.099	352.926	1.870	-13.994
262.277	271.599	-15.440	326.688	29.630	-14.239	363.926	42.460	-13.905	273.259	305.951	-15.433	301.884	272.553	-15.099	352.918	1.870	-13.978
262.277	271.583	-15.440	326.679	29.632	-14.223	363.917	42.460	-13.920	273.260	305.942	-15.433	301.887	272.542	-15.099	352.918	1.870	-13.978
262.278	271.590	-15.440	326.689	29.621	-14.239	363.926	42.467	-13.905	273.270	305.946	-15.418	301.887	272.542	-15.099	352.918	1.861	-13.977
262.278	271.590	-15.440	326.697	29.623	-14.224	363.927	42.459	-13.904	273.271	305.938	-15.418	301.897	272.531	-15.084	352.926	1.870	-13.994
262.270	271.588	-15.423	326.688	29.630	-14.239	363.926	42.467	-13.905	273.270	305.947	-15.418	301.886	272.535	-15.099	352.927	1.862	-13.993
262.270	271.588	-15.423	326.697	29.629	-14.224	363.926	42.460	-13.905	273.270	305.947	-15.418	301.896	272.540	-15.084	352.917	1.870	-14.009
262.269	271.597	-15.423	326.698	29.620	-14.224	363.918	42.458	-13.888	273.270	305.946	-15.418	301.896	272.523	-15.084	352.927	1.862	-13.993
262.271	271.595	-15.424	326.697	29.630	-14.224	363.926	42.467	-13.905	273.270	305.947	-15.418	301.897	272.515	-15.084	352.927	1.862	-13.993
262.278	271.590	-15.440	326.688	29.630	-14.239	363.926	42.452	-13.904	273.270	305.947	-15.418	301.896	272.525	-15.084	352.917	1.863	-13.978
262.270	271.587	-15.423	326.698	29.620	-14.224	363.927	42.459	-13.904	273.270	305.946	-15.418	301.896	272.524	-15.084	352.918	1.855	-13.978
262.280	271.592	-15.409	326.698	29.621	-14.223	363.935	42.458	-13.889	273.271	305.954	-15.418	301.897	272.531	-15.084	352.927	1.862	-13.993
262.281	271.584	-15.409	326.707	29.611	-14.208	363.926	42.452	-13.904	273.282	305.944	-15.403	301.898	272.522	-15.084	352.918	1.870	-13.978
