NO_OF_FRAMES	2092
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 14:15:14.701	132396.04358390
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002	New 0003	New 0004	New 0005
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Mixed	Measured
New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	
309.693	248.667	-14.976	265.740	250.565	-15.266	308.942	11.385	-14.339	287.274	44.642	-14.476	283.319	218.882	-14.956	329.418	44.077	-14.125
309.684	248.672	-14.960	265.738	250.583	-15.266	308.940	11.387	-14.371	287.256	44.651	-14.475	283.317	218.895	-14.987	329.418	44.085	-14.156
309.684	248.672	-14.960	265.738	250.567	-15.266	308.941	11.379	-14.371	287.274	44.636	-14.476	283.309	218.893	-14.971	329.419	44.069	-14.125
309.682	248.681	-14.960	265.739	250.574	-15.266	308.940	11.387	-14.371	287.274	44.636	-14.476	283.318	218.886	-14.987	329.418	44.070	-14.156
309.685	248.664	-14.959	265.738	250.567	-15.266	308.950	11.378	-14.356	287.274	44.642	-14.476	283.317	218.888	-14.987	329.427	44.069	-14.141
309.682	248.680	-14.960	265.739	250.574	-15.266	308.950	11.372	-14.356	287.265	44.636	-14.491	283.308	218.886	-14.971	329.427	44.062	-14.141
309.701	248.657	-14.961	265.738	250.567	-15.266	308.940	11.396	-14.372	287.274	44.645	-14.477	283.317	218.888	-14.987	329.419	44.076	-14.125
309.700	248.666	-14.961	265.749	250.557	-15.251	308.950	11.379	-14.356	287.274	44.645	-14.477	283.319	218.876	-14.956	329.418	44.071	-14.157
309.700	248.665	-14.961	265.739	250.574	-15.266	308.949	11.380	-14.357	287.274	44.645	-14.477	283.327	218.878	-14.972	329.427	44.069	-14.141
309.692	248.664	-14.944	265.737	250.576	-15.266	308.940	11.387	-14.371	287.274	44.652	-14.477	283.318	218.891	-14.956	329.427	44.069	-14.141
309.701	248.672	-14.961	265.738	250.583	-15.266	308.950	11.387	-14.356	287.282	44.646	-14.493	283.326	218.887	-14.972	329.419	44.069	-14.125
