NO_OF_FRAMES	1812
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 14:19:40.440	132661.78125190
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002	New 0003	New 0004	New 0005
TRAJECTORY_TYPES	Measured	Mixed	Measured	Mixed	Measured	Measured
New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	
300.568	10.903	-14.355	236.934	186.611	-15.127	243.430	222.149	-15.278	284.827	47.403	-14.512	204.147	216.317	-15.683	326.295	39.677	-14.060
300.576	10.906	-14.372	236.881	186.571	-15.118	243.377	222.120	-15.302	284.834	47.406	-14.529	204.086	216.300	-15.688	326.283	39.738	-14.079
300.585	10.898	-14.388	236.848	186.508	-15.112	243.324	222.080	-15.294	284.827	47.387	-14.511	204.066	216.220	-15.667	326.283	39.723	-14.078
300.576	10.897	-14.371	236.814	186.460	-15.106	243.279	222.035	-15.302	284.834	47.406	-14.529	204.022	216.161	-15.673	326.274	39.739	-14.094
300.576	10.897	-14.371	236.765	186.379	-15.097	243.245	222.003	-15.297	284.835	47.388	-14.528	203.991	216.101	-15.666	326.286	39.686	-14.076
300.585	10.898	-14.388	236.721	186.333	-15.105	243.202	221.941	-15.305	284.826	47.396	-14.512	203.939	216.067	-15.656	326.274	39.730	-14.093
300.576	10.897	-14.371	236.707	186.268	-15.101	243.163	221.877	-15.331	284.827	47.381	-14.511	203.907	216.010	-15.649	326.285	39.695	-14.076
300.576	10.897	-14.371	236.665	186.203	-15.078	243.134	221.780	-15.324	284.835	47.388	-14.528	203.856	215.952	-15.639	326.276	39.688	-14.092
300.566	10.906	-14.387	236.621	186.165	-15.087	243.098	221.728	-15.350	284.835	47.390	-14.528	203.827	215.868	-15.647	326.285	39.688	-14.077
300.576	10.897	-14.371	236.579	186.101	-15.095	243.047	221.672	-15.341	284.826	47.390	-14.512	203.765	215.807	-15.650	326.274	39.723	-14.093
300.575	10.906	-14.403	236.545	186.047	-15.088	243.014	221.608	-15.335	284.834	47.399	-14.529	203.734	215.731	-15.611	326.276	39.695	-14.091
300.566	10.914	-14.387	236.520	186.009	-15.131	242.969	221.563	-15.344	284.816	47.408	-14.527	203.681	215.669	-15.600	326.265	39.739	-14.109
300.566	10.906	-14.387	236.476	185.956	-15.139	242.944	221.509	-15.355	284.825	47.407	-14.513	203.637	215.594	-15.606	326.274	39.739	-14.094
300.566	10.914	-14.387	236.429	185.892	-15.147	242.911	221.453	-15.349	284.825	47.408	-14.513	203.595	215.538	-15.581	326.274	39.739	-14.094
300.576	10.906	-14.372	236.414	185.836	-15.144	242.889	221.367	-15.359	284.825	47.407	-14.513	203.552	215.476	-15.588	326.274	39.723	-14.093
300.576	10.906	-14.372	236.369	185.777	-15.152	242.854	221.312	-15.353	284.825	47.408	-14.513	203.519	215.413	-15.580	326.283	39.732	-14.079
300.576	10.906	-14.372	236.335	185.714	-15.145	242.811	221.251	-15.362	284.834	47.415	-14.529	203.486	215.341	-15.573	326.285	39.697	-14.077
300.575	10.907	-14.372	236.292	185.645	-15.153	242.776	221.196	-15.356	284.825	47.407	-14.513	203.421	215.265	-15.575	326.274	39.732	-14.094
300.575	10.921	-14.372	236.259	185.589	-15.147	242.742	221.141	-15.350	284.825	47.414	-14.512	203.387	215.234	-15.567	326.283	39.738	-14.079
300.584	10.914	-14.357	236.230	185.525	-15.157	242.698	221.087	-15.359	284.834	47.415	-14.529	203.352	215.204	-15.592	326.283	39.738	-14.079
300.585	10.906	-14.357	236.187	185.470	-15.166	242.657	221.044	-15.336	284.825	47.416	-14.513	203.310	215.165	-15.599	326.283	39.732	-14.079
300.576	10.913	-14.341	236.164	185.419	-15.145	242.619	220.979	-15.361	284.825	47.414	-14.512	203.281	215.072	-15.624	326.282	39.740	-14.079
300.575	10.914	-14.372	236.140	185.356	-15.156	242.577	220.929	-15.338	284.834	47.407	-14.498	203.258	215.019	-15.603	326.282	39.747	-14.079
300.575	10.914	-14.372	236.115	185.317	-15.167	242.535	220.897	-15.347	284.834	47.407	-14.498	203.224	214.988	-15.628	326.283	39.738	-14.079
300.584	10.914	-14.357	236.080	185.264	-15.192	242.492	220.855	-15.325	284.835	47.413	-14.498	203.200	214.938	-15.639	326.283	39.732	-14.079
300.585	10.899	-14.357	236.048	185.198	-15.186	242.438	220.780	-15.316	284.825	47.414	-14.512	203.158	214.888	-15.646	326.283	39.738	-14.079
300.584	10.914	-14.357	236.007	185.140	-15.163	242.404	220.732	-15.310	284.834	47.407	-14.498	203.116	214.783	-15.667	326.283	39.731	-14.079
300.584	10.921	-14.357	235.982	185.079	-15.173	242.367	220.631	-15.286	284.834	47.407	-14.498	203.082	214.712	-15.659	326.292	39.738	-14.064
300.584	10.914	-14.357	235.938	185.032	-15.182	242.316	220.574	-15.278	284.834	47.407	-14.498	203.035	214.569	-15.630	326.283	39.738	-14.079
300.585	10.906	-14.357	235.905	184.976	-15.175	242.283	220.495	-15.272	284.825	47.407	-14.513	203.000	214.515	-15.655	326.291	39.740	-14.064
300.584	10.914	-14.357	235.870	184.871	-15.168	242.254	220.398	-15.265	284.835	47.398	-14.497	202.959	214.470	-15.663	326.292	39.722	-14.063
300.585	10.899	-14.357	235.839	184.797	-15.161	242.211	220.359	-15.274	284.825	47.407	-14.513	202.945	214.410	-15.659	326.292	39.731	-14.064
300.585	10.906	-14.357	235.796	184.734	-15.138	242.166	220.314	-15.282	284.825	47.407	-14.513	202.904	214.357	-15.635	326.292	39.729	-14.063
300.575	10.907	-14.372	235.733	184.650	-15.112	242.121	220.269	-15.291	284.834	47.407	-14.498	202.867	214.263	-15.642	326.283	39.738	-14.079
300.585	10.899	-14.357	235.698	184.611	-15.106	242.084	220.186	-15.285	284.834	47.407	-14.498	202.840	214.226	-15.653	326.292	39.731	-14.064
300.584	10.907	-14.358	235.655	184.558	-15.114	242.031	220.141	-15.308	284.834	47.416	-14.498	202.799	214.181	-15.628	326.283	39.732	-14.079
300.584	10.907	-14.358	235.613	184.508	-15.091	241.997	220.093	-15.302	284.834	47.416	-14.498	202.757	214.126	-15.635	326.283	39.738	-14.079
300.584	10.907	-14.358	235.568	184.471	-15.099	241.953	220.040	-15.311	284.834	47.416	-14.498	202.705	214.086	-15.625	326.283	39.732	-14.079
300.584	10.900	-14.358	235.518	184.399	-15.090	241.900	220.010	-15.334	284.825	47.416	-14.513	202.672	214.028	-15.618	326.283	39.738	-14.079
300.584	10.907	-14.358	235.486	184.333	-15.084	241.866	219.939	-15.328	284.824	47.410	-14.513	202.621	214.002	-15.608	326.283	39.738	-14.079
