NO_OF_FRAMES	1955
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 14:21:31.278	132772.61864160
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002	New 0003	New 0004	New 0005
TRAJECTORY_TYPES	Mixed	Measured	Measured	Measured	Measured	Measured
New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	
320.893	14.276	-14.122	305.101	-20.758	-14.172	296.402	234.345	-14.898	320.945	260.779	-14.904	347.002	-15.796	-13.594	284.503	277.015	-15.225
320.893	14.276	-14.122	305.101	-20.758	-14.172	296.382	234.361	-14.897	320.926	260.803	-14.903	347.011	-15.787	-13.610	284.483	277.048	-15.224
320.893	14.276	-14.122	305.092	-20.749	-14.187	296.382	234.361	-14.897	320.918	260.807	-14.887	346.993	-15.779	-13.610	284.475	277.040	-15.239
320.883	14.285	-14.138	305.101	-20.742	-14.172	296.373	234.378	-14.912	320.901	260.808	-14.886	347.011	-15.781	-13.610	284.466	277.039	-15.222
320.893	14.276	-14.122	305.101	-20.749	-14.172	296.363	234.385	-14.896	320.883	260.810	-14.854	346.993	-15.796	-13.609	284.456	277.049	-15.237
320.884	14.276	-14.137	305.101	-20.751	-14.171	296.363	234.385	-14.896	320.867	260.825	-14.853	346.993	-15.788	-13.609	284.438	277.065	-15.236
320.893	14.276	-14.122	305.101	-20.758	-14.172	296.347	234.391	-14.895	320.857	260.835	-14.868	347.002	-15.797	-13.594	284.412	277.054	-15.217
320.893	14.276	-14.122	305.101	-20.758	-14.172	296.335	234.403	-14.910	320.840	260.836	-14.836	347.002	-15.790	-13.593	284.401	277.065	-15.232
320.893	14.268	-14.122	305.101	-20.749	-14.172	296.335	234.410	-14.910	320.822	260.867	-14.836	346.993	-15.788	-13.609	284.383	277.081	-15.231
320.893	14.276	-14.122	305.101	-20.751	-14.171	296.326	234.427	-14.925	320.813	260.880	-14.820	347.002	-15.787	-13.625	284.385	277.070	-15.231
320.893	14.276	-14.122	305.092	-20.743	-14.187	296.317	234.418	-14.909	320.796	260.879	-14.819	347.002	-15.788	-13.594	284.358	277.072	-15.244
320.893	14.276	-14.122	305.092	-20.743	-14.156	296.304	234.454	-14.925	320.780	260.893	-14.818	347.002	-15.788	-13.594	284.349	277.079	-15.228
320.902	14.276	-14.107	305.093	-20.751	-14.155	296.306	234.436	-14.924	320.771	260.906	-14.802	347.002	-15.788	-13.594	284.330	277.082	-15.258
320.893	14.269	-14.123	305.101	-20.749	-14.172	296.298	234.441	-14.908	320.754	260.906	-14.801	347.001	-15.786	-13.595	284.321	277.089	-15.241
320.892	14.284	-14.123	305.101	-20.749	-14.172	296.296	234.454	-14.939	320.733	260.915	-14.800	347.001	-15.786	-13.595	284.303	277.103	-15.240
320.901	14.284	-14.108	305.101	-20.756	-14.172	296.279	234.453	-14.938	320.717	260.929	-14.800	347.010	-15.770	-13.611	284.292	277.108	-15.255
320.901	14.284	-14.108	305.101	-20.749	-14.172	296.277	234.470	-14.938	320.707	260.939	-14.815	347.001	-15.777	-13.627	284.275	277.113	-15.253
320.901	14.278	-14.139	305.101	-20.749	-14.172	296.267	234.491	-14.923	320.698	260.951	-14.799	347.010	-15.770	-13.611	284.257	277.107	-15.251
320.892	14.284	-14.123	305.092	-20.749	-14.187	296.258	234.493	-14.938	320.680	260.971	-14.830	347.010	-15.770	-13.611	284.248	277.108	-15.266
320.892	14.284	-14.123	305.101	-20.749	-14.172	296.238	234.494	-14.936	320.661	260.979	-14.829	347.001	-15.786	-13.626	284.238	277.130	-15.250
320.901	14.285	-14.139	305.101	-20.749	-14.172	296.231	234.517	-14.951	320.654	260.984	-14.813	347.010	-15.786	-13.611	284.208	277.141	-15.264
320.892	14.284	-14.123	305.091	-20.741	-14.188	296.231	234.510	-14.951	320.643	261.010	-14.828	347.001	-15.762	-13.627	284.193	277.124	-15.262
320.892	14.284	-14.123	305.092	-20.743	-14.187	296.222	234.508	-14.935	320.620	261.040	-14.843	346.992	-15.762	-13.611	284.181	277.160	-15.277
320.893	14.276	-14.122	305.101	-20.749	-14.172	296.213	234.525	-14.950	320.610	261.046	-14.827	347.001	-15.779	-13.626	284.181	277.143	-15.277
320.893	14.276	-14.122	305.101	-20.749	-14.172	296.203	234.535	-14.965	320.602	261.055	-14.842	347.001	-15.779	-13.595	284.165	277.149	-15.275
320.901	14.285	-14.139	305.101	-20.749	-14.172	296.193	234.541	-14.949	320.574	261.065	-14.856	347.001	-15.779	-13.626	284.146	277.156	-15.274
320.892	14.284	-14.123	305.091	-20.734	-14.187	296.185	234.535	-14.964	320.556	261.080	-14.856	347.001	-15.770	-13.626	284.138	277.165	-15.289
320.901	14.285	-14.139	305.101	-20.749	-14.172	296.168	234.556	-14.963	320.546	261.091	-14.871	347.001	-15.779	-13.626	284.127	277.177	-15.304
320.883	14.285	-14.138	305.092	-20.749	-14.187	296.167	234.550	-14.963	320.528	261.083	-14.870	346.993	-15.779	-13.610	284.102	277.157	-15.286
320.892	14.284	-14.123	305.091	-20.734	-14.187	296.158	234.567	-14.978	320.519	261.101	-14.885	347.001	-15.770	-13.626	284.094	277.172	-15.301
320.901	14.285	-14.139	305.101	-20.742	-14.172	296.158	234.567	-14.978	320.499	261.117	-14.885	347.001	-15.779	-13.626	284.075	277.175	-15.299
320.901	14.285	-14.139	305.091	-20.741	-14.188	296.148	234.578	-14.993	320.491	261.126	-14.900	346.991	-15.753	-13.643	284.066	277.174	-15.314
320.892	14.285	-14.154	305.092	-20.743	-14.187	296.123	234.582	-14.975	320.471	261.143	-14.899	347.001	-15.770	-13.626	284.046	277.192	-15.313
320.891	14.294	-14.155	305.091	-20.741	-14.188	296.121	234.583	-14.975	320.472	261.134	-14.899	346.991	-15.753	-13.643	284.047	277.184	-15.312
320.901	14.278	-14.139	305.101	-20.742	-14.172	296.112	234.585	-14.990	320.444	261.145	-14.914	347.000	-15.753	-13.627	284.021	277.172	-15.294
320.900	14.293	-14.140	305.091	-20.741	-14.188	296.104	234.590	-14.974	320.444	261.145	-14.914	347.000	-15.753	-13.627	284.011	277.190	-15.310
320.900	14.286	-14.140	305.101	-20.741	-14.173	296.094	234.600	-14.989	320.426	261.153	-14.913	347.001	-15.762	-13.627	283.992	277.192	-15.308
320.891	14.294	-14.155	305.091	-20.734	-14.187	296.093	234.609	-14.989	320.416	261.164	-14.928	347.000	-15.753	-13.627	283.975	277.198	-15.306
320.900	14.293	-14.140	305.091	-20.741	-14.188	296.074	234.617	-14.988	320.406	261.174	-14.944	347.001	-15.761	-13.627	283.966	277.200	-15.321
320.892	14.285	-14.154	305.101	-20.741	-14.173	296.067	234.617	-15.003	320.387	261.182	-14.943	347.001	-15.768	-13.627	283.948	277.204	-15.288
320.900	14.293	-14.140	305.091	-20.741	-14.188	296.057	234.616	-14.987	320.377	261.188	-14.927	346.991	-15.758	-13.612	283.938	277.199	-15.303
320.891	14.294	-14.155	305.091	-20.741	-14.188	296.047	234.633	-15.002	320.368	261.190	-14.942	347.000	-15.760	-13.628	283.921	277.199	-15.301
320.900	14.293	-14.140	305.091	-20.741	-14.188	296.030	234.618	-15.000	320.351	261.189	-14.941	346.991	-15.753	-13.643	283.903	277.196	-15.300
320.900	14.293	-14.140	305.091	-20.741	-14.188	296.030	234.618	-15.000	320.343	261.205	-14.956	347.000	-15.760	-13.628	283.903	277.199	-15.299
320.883	14.293	-14.138	305.092	-20.743	-14.187	296.021	234.642	-15.015	320.336	261.194	-14.940	347.001	-15.762	-13.627	283.886	277.198	-15.298
320.883	14.286	-14.139	305.091	-20.741	-14.188	296.004	234.641	-15.014	320.326	261.205	-14.955	347.001	-15.777	-13.627	283.866	277.200	-15.296
320.892	14.278	-14.154	305.083	-20.743	-14.170	296.004	234.641	-15.014	320.307	261.213	-14.954	347.001	-15.777	-13.627	283.859	277.188	-15.279
320.891	14.294	-14.155	305.092	-20.749	-14.187	295.996	234.630	-14.997	320.308	261.205	-14.954	347.001	-15.786	-13.626	283.842	277.198	-15.309
320.892	14.278	-14.154	305.091	-20.741	-14.188	295.987	234.632	-15.012	320.298	261.215	-14.969	346.993	-15.786	-13.610	283.823	277.192	-15.307
320.892	14.277	-14.154	305.083	-20.750	-14.171	295.979	234.630	-14.996	320.291	261.204	-14.953	347.001	-15.777	-13.627	283.815	277.190	-15.291
320.884	14.276	-14.137	305.101	-20.758	-14.172	295.971	234.639	-15.011	320.290	261.212	-14.953	347.002	-15.788	-13.625	283.799	277.180	-15.289
320.901	14.270	-14.139	305.101	-20.758	-14.172	295.972	234.630	-15.011	320.281	261.221	-14.969	347.002	-15.794	-13.626	283.790	277.177	-15.272
320.893	14.268	-14.122	305.092	-20.750	-14.156	295.962	234.636	-14.994	320.272	261.212	-14.952	347.002	-15.788	-13.625	283.782	277.170	-15.287
320.893	14.268	-14.122	305.092	-20.749	-14.187	295.946	234.627	-14.993	320.264	261.205	-14.967	347.011	-15.803	-13.610	283.765	277.185	-15.286
320.902	14.268	-14.138	305.101	-20.758	-14.172	295.945	234.636	-14.993	320.255	261.223	-14.983	347.003	-15.812	-13.593	283.747	277.185	-15.284
320.893	14.276	-14.122	305.092	-20.743	-14.187	295.945	234.642	-14.993	320.248	261.212	-14.966	347.011	-15.796	-13.610	283.729	277.177	-15.282
