NO_OF_FRAMES	1914
NO_OF_CAMERAS	2
NO_OF_MARKERS	6
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 14:22:41.138	132842.47970900
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002	New 0003	New 0004	New 0005
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured	Mixed
New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	
273.702	244.293	-15.148	311.930	254.922	-14.865	275.980	280.394	-15.301	339.565	70.471	-14.168	312.940	37.786	-14.245	352.154	34.129	-13.961
273.648	244.299	-15.143	311.885	254.918	-14.877	275.934	280.396	-15.312	339.555	70.480	-14.183	312.922	37.801	-14.244	352.152	34.178	-13.994
273.594	244.314	-15.137	311.832	254.911	-14.873	275.899	280.394	-15.309	339.555	70.480	-14.183	312.922	37.795	-14.244	352.160	34.180	-13.979
273.540	244.317	-15.163	311.779	254.874	-14.868	275.873	280.396	-15.322	339.537	70.495	-14.183	312.930	37.802	-14.260	352.152	34.171	-13.994
273.496	244.317	-15.174	311.735	254.845	-14.849	275.846	280.386	-15.303	339.537	70.488	-14.183	312.931	37.808	-14.228	352.151	34.180	-13.995
273.441	244.309	-15.169	311.675	254.822	-14.859	275.830	280.378	-15.301	339.555	70.480	-14.183	312.931	37.808	-14.228	352.151	34.179	-13.964
273.397	244.310	-15.180	311.624	254.856	-14.872	275.805	280.359	-15.282	339.546	70.487	-14.168	312.931	37.801	-14.229	352.142	34.179	-13.979
273.343	244.316	-15.174	311.603	254.793	-14.916	275.777	280.353	-15.295	339.546	70.487	-14.168	312.930	37.809	-14.229	352.160	34.180	-13.979
273.303	244.300	-15.202	311.562	254.761	-14.928	275.751	280.349	-15.277	339.547	70.486	-14.167	312.940	37.801	-14.214	352.160	34.179	-13.979
273.260	244.285	-15.212	311.518	254.748	-14.940	275.726	280.346	-15.258	339.536	70.496	-14.183	312.931	37.801	-14.229	352.151	34.179	-13.964
273.215	244.278	-15.223	311.467	254.710	-14.967	275.699	280.346	-15.272	339.546	70.487	-14.168	312.931	37.808	-14.228	352.160	34.180	-13.979
273.169	244.280	-15.234	311.441	254.703	-14.981	275.675	280.319	-15.253	339.546	70.494	-14.168	312.931	37.801	-14.229	352.160	34.180	-13.979
273.117	244.269	-15.229	311.397	254.691	-15.025	275.659	280.308	-15.251	339.555	70.478	-14.152	312.931	37.808	-14.228	352.160	34.179	-13.979
273.066	244.282	-15.223	311.361	254.666	-15.023	275.631	280.306	-15.233	339.546	70.479	-14.167	312.940	37.801	-14.214	352.151	34.179	-13.964
273.016	244.278	-15.218	311.326	254.654	-15.051	275.595	280.298	-15.229	339.555	70.478	-14.152	312.931	37.801	-14.229	352.152	34.170	-13.963
