NO_OF_FRAMES	2011
NO_OF_CAMERAS	2
NO_OF_MARKERS	3
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 13:53:36.434	131097.78224180
DATA_INCLUDED	3D
MARKER_NAMES	a1	a2	a3
TRAJECTORY_TYPES	Measured	Mixed	Measured
a1 X	a1 Y	a1 Z	a2 X	a2 Y	a2 Z	a3 X	a3 Y	a3 Z	
288.713	-160.558	-14.248	315.266	-184.839	-13.864	330.966	-148.414	-13.783
288.704	-160.541	-14.264	315.257	-184.823	-13.881	330.949	-148.407	-13.815
288.695	-160.534	-14.280	315.257	-184.824	-13.881	330.966	-148.407	-13.816
288.695	-160.534	-14.280	315.249	-184.822	-13.864	330.960	-148.452	-13.833
288.695	-160.543	-14.279	315.249	-184.838	-13.864	330.940	-148.408	-13.830
288.696	-160.531	-14.281	315.257	-184.832	-13.880	330.948	-148.409	-13.846
288.686	-160.535	-14.295	315.248	-184.825	-13.896	330.949	-148.416	-13.846
288.686	-160.535	-14.295	315.249	-184.832	-13.896	330.948	-148.409	-13.846
288.686	-160.526	-14.295	315.239	-184.826	-13.911	330.948	-148.402	-13.845
288.686	-160.535	-14.295	315.239	-184.818	-13.911	330.939	-148.402	-13.861
288.686	-160.535	-14.295	315.248	-184.825	-13.896	330.939	-148.393	-13.830
288.686	-160.519	-14.295	315.239	-184.808	-13.880	330.939	-148.401	-13.829
288.686	-160.526	-14.295	315.240	-184.816	-13.880	330.948	-148.400	-13.813
288.686	-160.535	-14.295	315.248	-184.817	-13.896	330.957	-148.401	-13.830
288.695	-160.518	-14.280	315.248	-184.809	-13.896	330.948	-148.402	-13.845
288.695	-160.525	-14.280	315.240	-184.816	-13.880	330.948	-148.378	-13.846
288.695	-160.518	-14.280	315.248	-184.801	-13.897	330.948	-148.378	-13.846
288.695	-160.516	-14.281	315.248	-184.809	-13.896	330.939	-148.377	-13.830
288.704	-160.517	-14.265	315.249	-184.823	-13.864	330.966	-148.392	-13.815
288.695	-160.518	-14.280	315.257	-184.808	-13.881	330.966	-148.384	-13.815
288.705	-160.515	-14.266	315.248	-184.807	-13.865	330.957	-148.385	-13.832
288.704	-160.517	-14.265	315.257	-184.808	-13.881	330.948	-148.377	-13.814
288.713	-160.516	-14.251	315.257	-184.806	-13.850	330.948	-148.384	-13.814
288.713	-160.525	-14.250	315.266	-184.815	-13.865	330.975	-148.383	-13.800
288.714	-160.532	-14.250	315.257	-184.814	-13.849	330.957	-148.391	-13.799
288.722	-160.533	-14.234	315.266	-184.813	-13.834	330.957	-148.383	-13.799
288.705	-160.531	-14.234	315.266	-184.815	-13.865	330.957	-148.392	-13.799
288.713	-160.525	-14.250	315.257	-184.822	-13.848	330.957	-148.407	-13.798
288.705	-160.524	-14.233	315.266	-184.823	-13.865	330.966	-148.398	-13.784
288.714	-160.540	-14.250	315.257	-184.830	-13.848	330.966	-148.406	-13.783
288.714	-160.540	-14.250	315.257	-184.814	-13.849	330.966	-148.408	-13.815
288.714	-160.540	-14.250	315.266	-184.823	-13.865	330.957	-148.407	-13.798
288.713	-160.534	-14.249	315.257	-184.830	-13.848	330.957	-148.407	-13.798
288.713	-160.534	-14.249	315.257	-184.830	-13.848	330.966	-148.392	-13.816
288.704	-160.535	-14.264	315.258	-184.829	-13.849	330.975	-148.407	-13.800
288.714	-160.532	-14.250	315.248	-184.823	-13.863	330.958	-148.414	-13.799
288.704	-160.541	-14.264	315.249	-184.831	-13.864	330.957	-148.399	-13.799
288.704	-160.533	-14.265	315.249	-184.822	-13.864	330.958	-148.406	-13.799
288.714	-160.523	-14.251	315.258	-184.829	-13.849	330.966	-148.392	-13.816
288.696	-160.523	-14.249	315.249	-184.814	-13.865	330.967	-148.399	-13.816
288.705	-160.515	-14.266	315.249	-184.806	-13.866	330.958	-148.384	-13.832
288.704	-160.524	-14.266	315.249	-184.806	-13.866	330.958	-148.390	-13.801
288.705	-160.515	-14.266	315.249	-184.806	-13.866	330.949	-148.384	-13.815
288.695	-160.516	-14.281	315.240	-184.807	-13.881	330.958	-148.383	-13.800
288.695	-160.509	-14.281	315.249	-184.806	-13.866	330.957	-148.385	-13.832
288.695	-160.509	-14.281	315.249	-184.806	-13.866	330.958	-148.398	-13.800
288.695	-160.516	-14.281	315.240	-184.800	-13.881	330.958	-148.392	-13.832
288.695	-160.516	-14.281	315.249	-184.806	-13.866	330.949	-148.391	-13.816
288.687	-160.506	-14.265	315.231	-184.800	-13.896	330.949	-148.399	-13.815
288.695	-160.516	-14.281	315.240	-184.816	-13.880	330.960	-148.444	-13.833
288.687	-160.506	-14.265	315.231	-184.809	-13.896	330.949	-148.391	-13.816
288.686	-160.508	-14.297	315.240	-184.816	-13.880	330.951	-148.436	-13.850
288.686	-160.517	-14.296	315.240	-184.823	-13.880	330.949	-148.399	-13.815
288.687	-160.523	-14.296	315.240	-184.815	-13.881	330.952	-148.450	-13.818
288.695	-160.525	-14.280	315.240	-184.808	-13.881	330.958	-148.405	-13.800
288.687	-160.523	-14.296	315.248	-184.817	-13.896	330.940	-148.392	-13.831
288.687	-160.521	-14.265	315.240	-184.823	-13.880	330.961	-148.458	-13.834
288.678	-160.525	-14.279	315.240	-184.831	-13.880	330.952	-148.451	-13.850
288.696	-160.531	-14.281	315.240	-184.823	-13.880	330.960	-148.459	-13.833
288.686	-160.532	-14.296	315.249	-184.830	-13.865	330.958	-148.414	-13.832
288.695	-160.525	-14.280	315.249	-184.822	-13.865	330.958	-148.414	-13.800
288.695	-160.525	-14.280	315.240	-184.831	-13.880	330.960	-148.459	-13.833
288.695	-160.525	-14.280	315.240	-184.831	-13.880	330.958	-148.413	-13.800
288.695	-160.525	-14.280	315.249	-184.830	-13.865	330.949	-148.407	-13.815
288.704	-160.517	-14.265	315.249	-184.831	-13.864	330.958	-148.406	-13.799
288.687	-160.524	-14.264	315.249	-184.823	-13.864	330.958	-148.398	-13.800
288.695	-160.534	-14.280	315.231	-184.823	-13.863	330.949	-148.399	-13.815
288.704	-160.524	-14.266	315.239	-184.832	-13.879	330.948	-148.400	-13.814
288.704	-160.526	-14.265	315.248	-184.815	-13.864	330.948	-148.392	-13.815
288.704	-160.526	-14.265	315.248	-184.823	-13.863	330.966	-148.406	-13.783
288.704	-160.535	-14.264	315.248	-184.823	-13.863	330.948	-148.384	-13.814
288.704	-160.535	-14.264	315.239	-184.825	-13.878	330.957	-148.400	-13.798
288.704	-160.526	-14.265	315.248	-184.823	-13.863	330.957	-148.384	-13.798
288.694	-160.521	-14.279	315.239	-184.830	-13.847	330.956	-148.393	-13.797
288.703	-160.537	-14.263	315.239	-184.823	-13.846	330.956	-148.385	-13.797
