NO_OF_FRAMES	1854
NO_OF_CAMERAS	2
NO_OF_MARKERS	3
FREQUENCY	500
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-09-23, 13:55:23.744	131205.09199600
DATA_INCLUDED	3D
MARKER_NAMES	b1	b2	b3
TRAJECTORY_TYPES	Measured	Measured	Measured
b1 X	b1 Y	b1 Z	b2 X	b2 Y	b2 Z	b3 X	b3 Y	b3 Z	
273.161	-168.745	-14.329	293.328	-201.524	-14.321	310.322	-161.103	-13.954
273.151	-168.738	-14.344	293.310	-201.496	-14.352	310.321	-161.089	-13.986
273.151	-168.738	-14.376	293.310	-201.494	-14.353	310.313	-161.088	-13.970
273.152	-168.729	-14.345	293.319	-201.501	-14.338	310.304	-161.081	-13.985
273.142	-168.730	-14.359	293.319	-201.501	-14.338	310.304	-161.081	-13.985
273.142	-168.730	-14.359	293.310	-201.503	-14.353	310.304	-161.073	-13.986
273.142	-168.729	-14.359	293.293	-201.495	-14.352	310.303	-161.082	-13.984
273.142	-168.730	-14.359	293.302	-201.492	-14.337	310.304	-161.081	-13.985
273.142	-168.721	-14.360	293.310	-201.496	-14.352	310.303	-161.074	-13.985
273.142	-168.739	-14.359	293.318	-201.489	-14.368	310.303	-161.067	-13.985
273.151	-168.738	-14.344	293.317	-201.482	-14.368	310.303	-161.082	-13.984
273.142	-168.730	-14.359	293.317	-201.482	-14.368	310.303	-161.067	-13.985
273.152	-168.729	-14.345	293.316	-201.475	-14.368	310.303	-161.075	-13.984
273.151	-168.731	-14.344	293.316	-201.475	-14.367	310.303	-161.075	-13.984
273.151	-168.724	-14.343	293.316	-201.468	-14.367	310.303	-161.075	-13.984
273.151	-168.731	-14.343	293.333	-201.460	-14.368	310.294	-161.082	-13.967
273.151	-168.731	-14.343	293.316	-201.453	-14.367	310.303	-161.067	-13.985
273.150	-168.733	-14.342	293.332	-201.454	-14.368	310.303	-161.075	-13.984
273.151	-168.731	-14.343	293.316	-201.476	-14.366	310.294	-161.074	-13.968
273.151	-168.731	-14.343	293.333	-201.461	-14.368	310.312	-161.082	-13.968
273.151	-168.739	-14.343	293.325	-201.475	-14.352	310.312	-161.082	-13.968
273.160	-168.730	-14.329	293.325	-201.459	-14.352	310.312	-161.082	-13.968
273.151	-168.740	-14.343	293.325	-201.481	-14.352	310.312	-161.082	-13.968
273.160	-168.739	-14.328	293.335	-201.473	-14.338	310.321	-161.073	-13.954
273.161	-168.745	-14.329	293.318	-201.487	-14.336	310.321	-161.081	-13.954
273.161	-168.737	-14.329	293.327	-201.496	-14.353	310.312	-161.081	-13.969
273.161	-168.736	-14.329	293.327	-201.493	-14.322	310.321	-161.088	-13.954
273.161	-168.737	-14.329	293.328	-201.500	-14.322	310.321	-161.088	-13.954
273.161	-168.745	-14.329	293.328	-201.493	-14.323	310.321	-161.096	-13.953
273.161	-168.745	-14.329	293.327	-201.488	-14.354	310.330	-161.097	-13.970
273.161	-168.745	-14.329	293.328	-201.500	-14.322	310.321	-161.088	-13.954
273.170	-168.744	-14.314	293.328	-201.492	-14.323	310.330	-161.089	-13.970
273.161	-168.737	-14.329	293.328	-201.492	-14.323	310.321	-161.088	-13.954
273.170	-168.744	-14.314	293.335	-201.480	-14.338	310.330	-161.089	-13.970
273.170	-168.735	-14.315	293.328	-201.492	-14.323	310.330	-161.089	-13.970
273.161	-168.737	-14.329	293.336	-201.486	-14.339	310.330	-161.089	-13.970
273.161	-168.737	-14.329	293.335	-201.487	-14.338	310.330	-161.089	-13.970
273.161	-168.737	-14.329	293.335	-201.473	-14.338	310.330	-161.081	-13.971
273.169	-168.738	-14.346	293.335	-201.473	-14.338	310.330	-161.081	-13.971
273.160	-168.721	-14.330	293.334	-201.465	-14.337	310.330	-161.081	-13.971
273.160	-168.730	-14.329	293.342	-201.459	-14.354	310.321	-161.088	-13.954
273.151	-168.737	-14.344	293.334	-201.467	-14.369	310.321	-161.072	-13.955
273.160	-168.730	-14.329	293.342	-201.459	-14.354	310.330	-161.081	-13.971
273.160	-168.721	-14.330	293.332	-201.454	-14.368	310.312	-161.066	-13.970
273.151	-168.731	-14.343	293.334	-201.468	-14.369	310.303	-161.074	-13.985
273.151	-168.731	-14.344	293.334	-201.468	-14.369	310.321	-161.082	-13.986
273.152	-168.729	-14.345	293.316	-201.475	-14.367	310.312	-161.081	-13.969
273.152	-168.729	-14.345	293.326	-201.466	-14.353	310.312	-161.081	-13.969
273.152	-168.729	-14.345	293.326	-201.489	-14.352	310.312	-161.081	-13.969
273.151	-168.737	-14.344	293.316	-201.475	-14.367	310.321	-161.074	-13.986
273.151	-168.738	-14.344	293.318	-201.480	-14.337	310.312	-161.081	-13.969
273.151	-168.738	-14.344	293.318	-201.481	-14.369	310.312	-161.073	-13.970
273.151	-168.737	-14.344	293.302	-201.493	-14.337	310.312	-161.081	-13.969
273.152	-168.729	-14.345	293.319	-201.494	-14.337	310.313	-161.088	-13.970
273.152	-168.729	-14.345	293.310	-201.503	-14.353	310.313	-161.088	-13.970
273.160	-168.745	-14.361	293.319	-201.509	-14.337	310.321	-161.089	-13.986
273.160	-168.745	-14.361	293.319	-201.502	-14.338	310.321	-161.081	-13.987
273.152	-168.735	-14.345	293.311	-201.500	-14.321	310.313	-161.080	-13.970
273.152	-168.735	-14.345	293.319	-201.501	-14.338	310.321	-161.081	-13.987
273.152	-168.742	-14.346	293.312	-201.499	-14.322	310.322	-161.088	-13.987
273.161	-168.743	-14.362	293.311	-201.492	-14.322	310.304	-161.080	-13.986
273.160	-168.736	-14.362	293.319	-201.501	-14.338	310.313	-161.079	-13.971
273.160	-168.736	-14.362	293.310	-201.494	-14.353	310.304	-161.073	-13.986
273.151	-168.729	-14.377	293.319	-201.493	-14.339	310.295	-161.072	-13.970
273.151	-168.737	-14.376	293.310	-201.495	-14.353	310.312	-161.065	-14.003
273.142	-168.721	-14.360	293.319	-201.486	-14.338	310.304	-161.073	-13.986
273.152	-168.720	-14.345	293.318	-201.479	-14.338	310.313	-161.080	-13.970
273.152	-168.729	-14.345	293.326	-201.473	-14.354	310.303	-161.074	-13.985
273.152	-168.729	-14.345	293.326	-201.466	-14.353	310.312	-161.081	-13.969
273.152	-168.729	-14.345	293.334	-201.460	-14.369	310.312	-161.074	-13.969
273.151	-168.738	-14.344	293.333	-201.461	-14.368	310.312	-161.074	-13.969
273.160	-168.721	-14.330	293.332	-201.438	-14.368	310.312	-161.066	-13.970
273.151	-168.731	-14.344	293.331	-201.439	-14.367	310.312	-161.066	-13.970
273.160	-168.730	-14.329	293.331	-201.439	-14.367	310.312	-161.074	-13.969
273.151	-168.724	-14.343	293.332	-201.446	-14.367	310.312	-161.066	-13.970
273.160	-168.730	-14.329	293.340	-201.430	-14.352	310.321	-161.073	-13.954
273.160	-168.730	-14.329	293.332	-201.446	-14.367	310.321	-161.065	-13.955
273.160	-168.723	-14.328	293.341	-201.437	-14.352	310.321	-161.064	-13.955
273.160	-168.721	-14.330	293.331	-201.439	-14.367	310.312	-161.064	-13.937
273.160	-168.714	-14.329	293.341	-201.445	-14.353	310.321	-161.073	-13.954
273.160	-168.721	-14.330	293.341	-201.437	-14.352	310.321	-161.072	-13.955
273.161	-168.728	-14.330	293.332	-201.438	-14.368	310.312	-161.057	-13.970
273.161	-168.727	-14.330	293.342	-201.443	-14.354	310.321	-161.073	-13.954
273.170	-168.718	-14.316	293.342	-201.444	-14.354	310.321	-161.072	-13.955
273.170	-168.726	-14.315	293.334	-201.465	-14.337	310.330	-161.062	-13.941
273.161	-168.727	-14.330	293.335	-201.473	-14.338	310.321	-161.080	-13.955
273.161	-168.719	-14.331	293.336	-201.471	-14.339	310.321	-161.064	-13.956
273.161	-168.737	-14.329	293.336	-201.471	-14.339	310.321	-161.072	-13.955
273.161	-168.727	-14.330	293.328	-201.485	-14.323	310.330	-161.073	-13.971
273.161	-168.728	-14.330	293.327	-201.485	-14.322	310.330	-161.088	-13.971
273.161	-168.727	-14.330	293.328	-201.508	-14.322	310.330	-161.088	-13.971
273.161	-168.736	-14.329	293.327	-201.488	-14.354	310.330	-161.088	-13.971
273.161	-168.735	-14.330	293.319	-201.493	-14.339	310.330	-161.080	-13.972
273.152	-168.744	-14.344	293.327	-201.504	-14.353	310.330	-161.080	-13.972
273.160	-168.736	-14.362	293.319	-201.486	-14.338	310.321	-161.089	-13.986
273.160	-168.745	-14.361	293.319	-201.494	-14.337	310.321	-161.081	-13.987
273.160	-168.736	-14.362	293.310	-201.487	-14.353	310.321	-161.089	-13.986
273.160	-168.730	-14.361	293.327	-201.488	-14.354	310.321	-161.081	-13.987
273.152	-168.729	-14.345	293.327	-201.488	-14.354	310.321	-161.089	-13.986
